miliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_137_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP,PP2ACa,D34_75_PP2ACa,D34_75_137_PP2ACa,D75_PP2ACa,D75_137_PP2ACa,D34_75_PP2APCa,PP2APCa,D34_75_137_PP2APCa,D75_PP2APCa,D75_137_PP2APCa,PP2ACa_PKA
0,1.1794023619529515e-05,1.9415265532277904e-05,-1.646664918268725e-05,0.00016269346308817937,3.2370042522117733e-06,-4.879673595971786e-07,-3.6717140082619117e-05,0.0,0.0,-3.3704895204046933e-20,2.972799973513727e-21,-2.124857000233064e-21,5.848246722297232e-06,0.0,-6.25923213429521e-21,-1.0974821184566757e-22,7.410322336984132e-06,0.0,-7.127583939389968e-06,1.4293868812584922e-06,0.0,0.0,0.00013896530424063947,2.2683718179453505e-06,0.0,2.0590636734591284e-06,-1.743215725007746e-06,-5.135739136390574e-22,3.3936746654713063e-22,-3.704492043304964e-21,0.0,0.0,0.0,0.0,2.453232092435464e-23,1.0753882394344071e-06,6.286440682992496e-23,0.0,0.0,0.0,5.868301142935673e-22,2.317213022480167e-06,2e-06,7.74241481110596e-07,1.920686561833212e-22,0.0003445982189547421,7.207951814989776e-08,0.0,0.0,0.0,-1.6823509245651684e-07,-1.8404339084310065e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.86140956969861e-09,0.0,0.0,1.1816429604017248e-09,1.067671447279251e-09,0.0,0.0,0.0,0.0,0.0,0.0
100,2.2978880469442182e-06,2.2876812298739668e-05,9.710235297815129e-06,-0.0001417053351277098,-1.0219632044408427e-05,4.0880342714001936e-07,-4.888885104521134e-05,0.0,0.0,4.072870783661768e-20,-2.9183039991554973e-21,-1.7697023560446258e-21,-3.283105608988005e-06,0.0,-4.452408431981835e-21,-9.318564065744436e-21,1.1172696730716633e-05,0.0,7.227842033208565e-06,3.3173440071527582e-06,0.0,0.0,7.70588977010847e-05,3.4592241146531597e-06,0.0,2.290446516587889e-06,1.3391295207627741e-05,-1.5812340270189104e-22,-7.5028126435067255e-22,2.0462056443568744e-21,0.0,0.0,0.0,0.0,-3.203097560271309e-22,4.78343216079724e-06,6.381330478773642e-23,0.0,0.0,0.0,8.632192588173828e-22,-3.3627993315845303e-06,2e-06,9.118148877418264e-07,5.083443852393122e-22,-0.00021753147380259972,-7.560165597644544e-08,0.0,0.0,0.0,-2.3545259395814765e-07,-2.8963205181266156e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.676229496607002e-09,0.0,0.0,1.3080844159161782e-09,-3.1095405911432716e-10,0.0,0.0,0.0,0.0,0.0,0.0
200,8.268892657309857e-06,2.16568455354616e-06,3.1586883999370017e-06,0.00010582644569335607,1.9433490418065325e-06,1.5359833348175506e-07,4.3400420088639206e-05,0.0,0.0,-3.710904070637475e-20,-1.3697057918770477e-21,-1.976339795292536e-21,4.613465544281389e-06,0.0,7.01952677356916e-21,-1.4786994600092395e-20,3.1998181110966935e-06,0.0,-3.997551983280157e-06,1.342661331808176e-06,0.0,0.0,-9.074728497997194e-05,-6.032296429547957e-06,0.0,2.629346095223694e-07,1.0908350311005389e-05,-1.9946994855147331e-22,6.84343118253787e-22,-2.3867993888507624e-21,0.0,0.0,0.0,0.0,1.7309578370667505e-22,-4.274676095908552e-06,-1.2378087235463761e-23,0.0,0.0,0.0,3.12505629243746e-22,-1.057816112363342e-06,2e-06,1.3489635407103684e-06,-6.999416111208586e-22,0.0005444141336257036,2.5209534043953077e-07,0.0,0.0,0.0,9.815647719193529e-08,2.871534705736536e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.055006280173361e-10,0.0,0.0,-2.1224543219160804e-09,-7.698593437149114e-10,0.0,0.0,0.0,0.0,0.0,0.0
300,-2.2060168937092318e-05,2.9175353388339978e-05,1.81864514479374e-05,-5.993447393626221e-05,-5.7293237185542215e-06,4.488304107249331e-07,-5.100776562319809e-06,0.0,0.0,3.298084350452242e-20,-4.344222328230432e-21,2.047902978864074e-21,-5.565179518024158e-06,0.0,3.884744649416769e-22,7.541686655916843e-21,-2.6239215677578742e-06,0.0,7.421741968682959e-07,-2.579502410304838e-06,0.0,0.0,-0.0002131397709532376,4.235126110192382e-06,0.0,-2.644544499247475e-07,3.1471717995529905e-06,1.438581486221855e-22,-1.0368242784143074e-21,-3.64945738993034e-21,0.0,0.0,0.0,0.0,-6.237726058365785e-23,3.605824841510456e-06,5.20386941456691e-23,0.0,0.0,0.0,5.43547847692427e-22,5.435796865130098e-06,2e-06,1.7543574282336797e-06,-4.553381351625239e-22,2.405301575897178e-06,-6.55127386090413e-08,0.0,0.0,0.0,-1.1432726761048713e-07,-3.0973004767464165e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.523313698570012e-09,0.0,0.0,-1.7399660159886972e-09,8.477329846914602e-10,0.0,0.0,0.0,0.0,0.0,0.0
400,2.8065919960666304e-05,2.64234048060157e-05,8.226784280536779e-06,-0.00017233583517542087,5.849496406299841e-06,-2.7167676248556615e-10,4.209451830920616e-05,0.0,0.0,-8.131449518222637e-21,1.0973435137987051e-21,-1.4812717075001494e-21,-3.4548020319009227e-06,0.0,3.3955195839437175e-21,3.606912199012641e-21,-1.565444512767531e-05,0.0,6.264801662198824e-06,-1.0015584676542447e-06,0.0,0.0,-5.5222375393261765e-05,6.805513368114627e-07,0.0,-1.2844652139221634e-06,-7.903844715947427e-06,1.162899953483204e-22,7.30520667858518e-22,2.029261209005914e-21,0.0,0.0,0.0,0.0,2.267594495230858e-22,2.7086240941642716e-06,-3.3136486145034096e-23,0.0,0.0,0.0,6.208849266759397e-22,-1.0722130204518003e-05,2e-06,1.4167917577730503e-06,-3.6292738254357634e-22,0.00022636878099868956,2.2714072836154916e-07,0.0,0.0,0.0,-1.2175474452715275e-07,-2.2066619115789504e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.019191728673882e-09,0.0,0.0,-1.6713138952916202e-09,1.463743854655668e-10,0.0,0.0,0.0,0.0,0.0,0.0
500,3.0318971990373473e-05,1.9229463839294466e-05,-1.6215932756731208e-05,-3.317510474973422e-05,-1.0355999326583976e-05,-7.482046500434868e-08,8.119238100206165e-06,0.0,0.0,1.9835013301800534e-21,-5.69903410338602e-23,-1.8981746486439635e-21,2.455459550585593e-06,0.0,-1.3158045036954397e-21,1.210355141637958e-20,2.550587375289742e-07,0.0,-4.800585130544721e-06,-1.5237456443233962e-06,0.0,0.0,0.00011442834383528876,4.769866685072648e-06,0.0,-5.059065455215827e-07,-9.123850486995578e-06,5.936080891275847e-22,-5.82594177408377e-22,-1.8452593896906393e-23,0.0,0.0,0.0,0.0,-8.254556620356345e-23,-2.9664998145167827e-06,6.189344136671376e-23,0.0,0.0,0.0,9.149761838309243e-22,2.2359161720588056e-07,2e-06,5.089152707463176e-07,-8.873307950265245e-23,0.00037170615194414804,2.6028964692967297e-07,0.0,0.0,0.0,2.1371011351841605e-07,-2.969087271927093e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.185851014594717e-08,0.0,0.0,6.984753654307787e-10,1.8622633062597097e-10,0.0,0.0,0.0,0.0,0.0,0.0
600,3.0178659802663218e-05,1.311128328193164e-05,2.4278620291588465e-06,0.00015129238166737975,5.866592015664691e-06,2.966860681691865e-07,1.8085467458934653e-05,0.0,0.0,-2.3341516763830528e-20,2.804651950415121e-21,-3.8543079942519356e-22,-2.0798762416267344e-06,0.0,-5.981589111120256e-21,3.0618353663128644e-21,-1.2078849364610773e-05,0.0,4.375810042789964e-06,-1.5843313582229092e-07,0.0,0.0,4.2795603430703266e-05,3.2995854988803872e-06,0.0,-7.58431082610818e-08,4.025466780526948e-06,2.1329235662627624e-22,-1.8545355970673538e-22,2.2079772074435986e-21,0.0,0.0,0.0,0.0,1.1847071478653347e-22,5.234468070849124e-07,2.6695965517361827e-23,0.0,0.0,0.0,7.637022354614025e-23,-2.078641537650275e-06,2e-06,-5.385527544685552e-07,-4.7550914624517016e-23,0.00023268157045305154,2.4557545352743e-07,0.0,0.0,0.0,-1.134373071054586e-08,-4.94758492795906e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6582782623158385e-09,0.0,0.0,-1.470425234305178e-09,7.536107996474411e-10,0.0,0.0,0.0,0.0,0.0,0.0
700,4.061757104765065e-05,-2.8876832948080954e-05,-1.9948631034162877e-06,9.715102011180901e-06,-1.132954052590188e-06,-5.134108438347629e-07,-2.326340417410246e-05,0.0,0.0,-2.1460089267817832e-20,-2.6394448455021657e-22,-1.2846241146114318e-21,8.780725305730552e-08,0.0,-6.5324640360548675e-21,3.0753487439081645e-21,-3.507751202896898e-06,0.0,-2.305432367719388e-06,-2.2163184500288183e-06,0.0,0.0,0.0002144049912939808,-1.3036120980987837e-05,0.0,1.331226022913715e-06,-1.3321929903915504e-05,3.536898004770057e-22,-9.715893940746607e-22,2.020662000713845e-21,0.0,0.0,0.0,0.0,3.063625378619852e-22,2.1633466918907235e-06,5.017420910900941e-23,0.0,0.0,0.0,-6.798174944106438e-22,-3.796768880204506e-06,2e-06,1.8827327141112504e-06,1.9539496618584201e-22,0.00017727971014289335,1.3423654777599687e-08,0.0,0.0,0.0,-3.9791599780831054e-08,-3.413054786819442e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5815851107710806e-09,0.0,0.0,-1.6883210405437665e-09,7.451720016969582e-10,0.0,0.0,0.0,0.0,0.0,0.0
800,2.8107420929476747e-06,-2.12845128044284e-05,1.5428246709510374e-05,-5.1459159887616604e-05,-1.3745194031182288e-06,-7.263980947327226e-07,-1.3590215075809261e-05,0.0,0.0,1.1529360849034846e-20,3.464506147360134e-22,2.072846305175017e-21,2.536503275347946e-06,0.0,-4.283679545209731e-21,1.2205791614031097e-20,1.672189399589042e-05,0.0,-5.48735487494512e-06,2.780326640253387e-06,0.0,0.0,4.031151095665056e-06,1.2163007391401098e-06,0.0,-1.0726657369656766e-06,-1.1700057700248968e-06,-4.659774442334505e-22,2.6400479076130127e-22,-2.9689410175258034e-21,0.0,0.0,0.0,0.0,-1.458882303286822e-22,3.900596438513432e-06,-2.11553713794307e-23,0.0,0.0,0.0,5.0807458921523415e-22,5.659782459924526e-06,2e-06,1.9095194657297382e-06,-4.0184182075327137e-22,-0.0003042925727120103,3.008255973095994e-07,0.0,0.0,0.0,1.5313551226751734e-07,1.5187783564539567e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.784021334140336e-09,0.0,0.0,-1.1247295956875228e-09,-1.7222990668199384e-10,0.0,0.0,0.0,0.0,0.0,0.0
900,1.8456311661878923e-05,-2.3343537641385127e-05,-1.0182210947533027e-05,9.551382104470135e-05,-1.5533317044740716e-05,-1.2102253392659349e-06,-8.10754100245161e-06,0.0,0.0,5.080577799138511e-20,1.5816182076557922e-21,1.2850217981384044e-21,1.0594256329468386e-06,0.0,-9.779373787854563e-21,9.530394608074858e-21,2.138946300410664e-06,0.0,-9.530334728101621e-07,-1.1463000553633926e-06,0.0,0.0,-6.739812639158205e-06,6.803467228275541e-06,0.0,-6.660081997708646e-07,1.622827807391465e-05,-5.365922058241097e-22,-9.106159927982526e-22,1.0487957613629273e-21,0.0,0.0,0.0,0.0,-2.825476918589784e-22,-3.409521075646071e-06,8.421967395689894e-24,0.0,0.0,0.0,-2.1300365020548877e-22,2.0933162174595313e-06,2e-06,-6.615741331078755e-07,-6.153932789693989e-22,0.0004474133272817364,-1.0636122276882619e-07,0.0,0.0,0.0,-9.300057723758348e-08,-3.4017855929201264e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8537035900779225e-09,0.0,0.0,-4.5067821238808214e-11,-4.069203334264566e-10,0.0,0.0,0.0,0.0,0.0,0.0
1000,-3.6312897136375673e-07,-3.0916188067544855e-05,-1.016593827443698e-05,-0.00011458590161986887,-1.4371305560580031e-05,-2.445699020324074e-07,-2.4508791219924963e-05,0.0,0.0,3.985525383943487e-20,1.4423353620953071e-21,1.809152231481388e-21,-5.360923304419155e-06,0.0,-1.1136553550665958e-20,1.2963812345909167e-21,-7.099242899807146e-06,0.0,-4.364944622263417e-06,1.3851348223893406e-06,0.0,0.0,4.033199757227636e-05,2.235766391054314e-07,0.0,-1.2850996769754907e-06,1.139712780271251e-06,-6.520184479227426e-22,-3.950098246400332e-22,-5.740367418704346e-22,0.0,0.0,0.0,0.0,2.4441081976994563e-22,4.460723189569259e-06,6.017455463509855e-23,0.0,0.0,0.0,7.166272265934413e-22,4.6170545384135895e-06,2e-06,1.8276124376720175e-06,4.099732589358485e-22,-0.0001854849667913813,-1.0372644135587388e-08,0.0,0.0,0.0,-8.616590499985551e-09,6.104559104927038e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9103119604834226e-09,0.0,0.0,-1.1489116638558382e-09,-3.1372531242430265e-10,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.8880169544845854e-05,-2.760730715728105e-06,-1.6628802591721023e-05,-8.088053939944468e-05,-7.510320880776831e-07,-4.3290899291990364e-07,5.193267274752347e-05,0.0,0.0,4.803290259418e-20,4.0377713025893035e-21,-1.8988471625065625e-21,-9.872229907368005e-08,0.0,1.1169206677140931e-20,-2.216542023035275e-21,1.3663877637758552e-05,0.0,-6.297198846156227e-07,-2.485156451380089e-06,0.0,0.0,0.00010299121133487692,1.2331727993112219e-05,0.0,-2.215106080709749e-06,-4.5463325360584235e-06,1.2926334552500298e-22,6.573210906196743e-23,-3.3837146975779562e-21,0.0,0.0,0.0,0.0,2.4443112892474144e-22,-1.7242236217842407e-06,2.4946007359600384e-23,0.0,0.0,0.0,8.737055396380212e-22,-8.278759057314153e-06,2e-06,3.6414428967960987e-07,-3.3644719552731356e-23,-0.000263975933044072,-3.3564718976330726e-09,0.0,0.0,0.0,3.165227652732785e-08,7.969473238568653e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1675091707192573e-08,0.0,0.0,-1.409721098436682e-09,-1.1154697746319896e-09,0.0,0.0,0.0,0.0,0.0,0.0
