milliseconds,M,P
0,0.9888165059979718,1.0204509646807247
100,1.0062965987818735,0.9871761462427414
200,1.001851466844804,0.9705337216933226
300,0.977093151335539,0.9424857062737733
400,0.9690102254969577,0.9594155270094615
500,0.9667567164322721,0.9674343842830528
600,0.9555169095591669,0.956380756734666
700,0.9740883180648844,0.9070203545103351
800,0.9570254450225664,0.893992525537893
900,0.9514891778546352,0.8902581136916489
1000,0.9569306137884561,0.8821327927980964
1100,0.9485750990599963,0.8617130521087617
1200,0.9381176311699654,0.8551514104720698
1300,0.9264229391078325,0.8446143662347098
1400,0.9361670708936417,0.8218977242889662
1500,0.924951438886421,0.8456723739588117
1600,0.9304152663133352,0.8292443382257885
1700,0.9319627850522706,0.8119050025356503
1800,0.9347947989603488,0.7485771752949676
1900,0.9311871836964078,0.7252943757159688
2000,0.9208464077663286,0.7183518514218847
2100,0.9322794082652723,0.7479376206090512
2200,0.9057222710440713,0.6800706927632165
2300,0.9199603175850247,0.6531119513992792
2400,0.9118702495602258,0.6789824085895848
2500,0.9067716276597501,0.6433209583079665
2600,0.906058167089971,0.6468599666828858
2700,0.9149681924413182,0.6147096512676868
2800,0.912979874497838,0.5990512566429951
2900,0.940885456625543,0.5441848320477053
3000,0.9378548372743817,0.566208508187221
3100,0.9220986197895,0.5451797844167025
3200,0.9518054500485814,0.516035165371891
3300,0.9476766238635748,0.46642265009505524
3400,0.9384506624675234,0.4530143974523976
3500,0.956343367137249,0.4083612301365919
3600,0.9889541166262991,0.39203556061902084
3700,0.9877097456550412,0.3526214338453879
3800,0.9943476278290064,0.37713653116924656
3900,1.0337339850296885,0.30641608024963024
4000,1.0485262991976472,0.2997977941138307
4100,1.0926019516256624,0.28443287522011
4200,1.112540380001921,0.21885054487950775
4300,1.1483549105013955,0.18811748166423123
4400,1.200789132965987,0.19557025658308774
4500,1.245327862694181,0.12238896728701462
4600,1.303308758582698,0.07969395351295436
4700,1.3846537774536132,0.06215990914370155
4800,1.4642181137085257,0.03544411403017764
4900,1.5685944616280372,0.01385401436535623
5000,1.6517615614611323,0.03463758361581287
