milliseconds,M,P
0,1.0114780693988803,0.9761053229129463
100,0.9973341583198886,0.9800125988194006
200,0.9962418674098598,1.0026596468583542
300,0.9785288130038952,0.9413135159863626
400,0.9624328805886265,0.989626217300539
500,0.9657184148922107,0.9657037595578575
600,0.9821226001459697,0.9133242164061605
700,0.9533527956965027,0.9362917074068021
800,0.9714267447880284,0.9031748739961869
900,0.9697509568199538,0.9179860919441672
1000,0.9381780748220576,0.9080114944091664
1100,0.9589939144525109,0.8965838286314274
1200,0.9551768414089964,0.8852027214571826
1300,0.9302741380692439,0.8514706715414535
1400,0.9248595999626132,0.8278258289237267
1500,0.9421754885997711,0.8198291174126473
1600,0.9175588710749744,0.774669738559874
1700,0.9311605968634524,0.7943633665206454
1800,0.9103275344056676,0.7436296255006233
1900,0.9329129830104662,0.7379804462590897
2000,0.9296426222636028,0.7549218122014673
2100,0.9111391599021289,0.7144684973864164
2200,0.9123401142169202,0.7043128241645198
2300,0.9132597307785139,0.6617691476692626
2400,0.9132262019805266,0.6831160186907571
2500,0.927830692728129,0.6229013359762389
2600,0.9271265837292967,0.6521438745078837
2700,0.912834418079608,0.6201262698812176
2800,0.9310728481624392,0.5935737516238047
2900,0.909204347075603,0.5450339679173921
3000,0.9353725458520105,0.5693143134511487
3100,0.944865980562812,0.5415333405509619
3200,0.9401908536790108,0.4919727683288825
3300,0.9405885803276849,0.5024829588975339
3400,0.941463021624822,0.4755968334017281
3500,0.9619769530223989,0.4202424876463459
3600,0.9667898899380415,0.40515813080154445
3700,0.9918470970658273,0.35892000689110215
3800,1.0120252005532286,0.3255785924288053
3900,1.009147589974606,0.3196985322478661
4000,1.050815360704885,0.3115149904565894
4100,1.0918367959849418,0.246925738974793
4200,1.1054446655398786,0.2395202757960114
4300,1.1487356272432048,0.22365893055806546
4400,1.1840530448625395,0.15798727792977052
4500,1.2515260548972174,0.14843241161874293
4600,1.3127242790523121,0.08082973256985668
4700,1.397561395950776,0.0644080000073918
4800,1.483778363803312,0.06888799987176486
4900,1.5635428809414345,0.01104847247443995
5000,1.6237141047833052,0.037905214796853805
