miliseconds,U,I,M,E,V
0,1063840.806775659,-2.9432793630618975e-05,1.000007682982634,-0.0010348663103839071,0.9505381381046106
100,962902.0519081001,0.00030184133651567905,1.000050266187142,0.04993518249836873,0.8488118965178654
200,1819295.3067817446,0.0004842236180884244,1.00006574743285,0.08582382648759464,0.6847407302992922
300,1522372.6655731683,0.0008185682049766505,1.000070373355113,0.09887916233487966,0.6915997599568924
400,2113394.739869729,0.0010420881543994676,1.000101835025508,0.16354220762365337,0.5566262980794303
500,1527752.7805142323,0.00102922655701253,1.0000976935996793,0.19139221596478848,0.6366723259983829
600,1803070.9811922587,0.001155051868782366,1.000117332668614,0.239835827614927,0.5956890596106267
700,1611506.5670308378,0.0011081054235816514,1.0001442534505944,0.26838115494856024,0.578171636084788
800,2837927.6642555464,0.0012876625168770767,1.0001585579232792,0.3048536977704647,0.5389022835148628
900,2075968.8842877077,0.0015288573023969974,1.000132065409368,0.3322113637976313,0.6276117202167704
1000,2471226.345442355,0.0014128659689899153,1.0001607490267932,0.36839538380539666,0.639288935833017
1100,3036955.5586872557,0.0016948801659409513,1.0001571036165802,0.41098703494715616,0.7082529201363026
1200,2230719.100172682,0.0017604384099661583,1.0001935205142771,0.4575313356449218,0.7088426177193228
1300,3502318.958541547,0.001774727699680813,1.0001997589828933,0.49877062199329486,0.7461468706731593
1400,2912640.3931111274,0.0019654964236546593,1.0002094948078206,0.5293887572253696,0.7430598483378491
1500,3433319.6067658435,0.0018710418789790071,1.0002443615608718,0.547136697014047,0.7286999282883136
1600,3864570.9012341546,0.0019509705113573202,1.0002494845315784,0.5788600296429319,0.8616134041973151
1700,4048149.57389505,0.002159327663867388,1.0003130107287523,0.6244457730458769,0.8702476890981454
1800,4467864.789000518,0.002272482070291533,1.000316904625478,0.6514159782609721,0.9624514241109784
1900,5995856.111896574,0.002545026106857804,1.0003126617893847,0.6781401326184844,0.9929247355200863
2000,6845206.673984697,0.0025528180274765424,1.0003470319721421,0.7190570252177959,0.9600171954871577
2100,6315464.443219651,0.0027823284032045506,1.0003810532625865,0.7317834622806838,1.01613083453633
2200,6997651.368797581,0.002837429205228809,1.0004001494913044,0.7626598552046764,1.0662072964668436
2300,7185406.102429235,0.0029832276658614365,1.000415147174924,0.7877110060235877,1.1383499031835975
2400,9280381.984189944,0.003120819693104858,1.0004947301245357,0.8248684081236781,1.2599226239020052
2500,9516241.910685409,0.0031823206324224015,1.0005135103249845,0.8697939878711632,1.2495508092453456
2600,9688272.665470684,0.003542716065057486,1.0005195872030568,0.8777274154029455,1.342829421173135
2700,11766652.8972305,0.0034929539243667095,1.0005794133428119,0.8890846983473543,1.3892602488944816
2800,11837514.008498628,0.003741379607242546,1.000582438257019,0.9433507985350517,1.5121318291478683
2900,12763576.959666263,0.004011770026215901,1.0006306047441973,0.9636154505092793,1.5343057522146526
3000,15483653.620494364,0.004051331292667232,1.0006973634034888,0.9772753382078112,1.5940166176513921
3100,16896095.078604084,0.004497145287138015,1.0007342547172462,1.0037545327410675,1.6787777000265043
3200,18234593.041157056,0.004581983710301824,1.0007958618512012,1.0419036368121584,1.8694150065921042
3300,19280485.000274792,0.004745399041896296,1.0008448959889984,1.0390825968363897,1.8757074313911584
3400,19999230.463020526,0.005026627856299464,1.000838891017676,1.067639705583102,2.0465188581622
3500,23130579.659533057,0.005426788194591766,1.0009142684446395,1.0685115792110462,2.1599697563113636
3600,23722985.394616704,0.005556669908562809,1.001002155584841,1.1135703287744698,2.2485583874905326
3700,27054955.512617115,0.005951896103794307,1.0010026467083353,1.1210632533760028,2.2704238804393353
3800,28885233.376292072,0.006143085304722412,1.001088797192046,1.109180849607322,2.391752273716734
3900,31590275.95006932,0.00659747145314587,1.0011271210653017,1.1478031579040182,2.614976666571602
4000,33674280.1016502,0.006931493872983334,1.0011894857426111,1.1471159681911371,2.700571012540898
4100,35125751.062459156,0.007075950187387099,1.001258864155618,1.1639757339482537,2.831162921865046
4200,38065816.80630847,0.007571257101372502,1.001339613493637,1.1709534331157831,3.030535086956107
4300,41045020.93209624,0.007992143103468163,1.0014552609554424,1.1669169695594945,3.1712521447424344
4400,43741526.01890906,0.008290517220740614,1.0015008068028146,1.1828747280352214,3.237467099916512
4500,48555718.13469265,0.008663208449904352,1.0015935596049041,1.167845043509639,3.5104532757365403
4600,51165316.87923775,0.009347413118993932,1.0016904404804465,1.167578331909486,3.5830791391511294
4700,54921059.57002292,0.009789469298690848,1.0018095052582052,1.1687292752991185,3.847106902466868
4800,57389959.34507737,0.010070806719672067,1.0018780889100107,1.1615120146149862,3.9611882230579787
4900,61738000.626842886,0.01083688477381903,1.0019745549335228,1.1613016745964158,4.209697835405198
5000,65047532.99495717,0.011198382035826092,1.002080214467265,1.1372800177624198,4.447512401918194
