miliseconds,delta1,delta2,notch1,notch2
0,1.0048976369444549,0.9807929812529058,1.0051315283611295,0.9927281390942344
100,0.9053464133886093,0.8947134473708606,1.012149260518145,0.9921329193419326
200,0.8101611792745913,0.8076612458324502,0.9911757227496539,0.9782535356132765
300,0.7511023051413664,0.7294385869985991,1.002980302560139,0.9836323955588387
400,0.6771718851886143,0.673490820358751,0.9818598519698645,0.9924234624990458
500,0.6178469173488508,0.6083357068095319,0.9825488237354589,0.9836417749675289
600,0.54477235295243,0.5575011950732552,0.9942213662396868,0.9770883250339746
700,0.4982178745895869,0.4944563088611264,0.9802739801193866,0.980019171648009
800,0.46657039909594294,0.4392657779902413,0.9974018544470167,0.9752212667206162
900,0.4042402900600987,0.39680842474709876,0.9826236615769908,0.9805352598492589
1000,0.38642860580305444,0.3762834800336853,0.9660570456340342,0.9674979900095646
1100,0.3336007951853918,0.3432441426422894,0.9779798038673461,0.9614335942017265
1200,0.3145543119164658,0.3032101309508923,0.9602610798958006,0.9571639872741019
1300,0.268578657960979,0.2880896148937831,0.9639921720193949,0.9639098914984504
1400,0.25444344875188424,0.2538857801181868,0.9580417098397949,0.9421122191219102
1500,0.23395708687992783,0.22411037980164972,0.9426608980041489,0.9437710858960026
1600,0.20276215158129135,0.2063267597210249,0.9196760853307043,0.921065246843303
1700,0.1835353107154704,0.17900461712159604,0.9135930440637837,0.9166376481370877
1800,0.1858500039393243,0.18116797789682712,0.8935418638147358,0.8910088381342611
1900,0.16450309971015786,0.16505642890140895,0.8835594371817542,0.8820112185848561
2000,0.14504224625208045,0.13794901298968376,0.8674860481265453,0.8596622310309019
2100,0.12502530410641743,0.11896774755148436,0.8383976185248148,0.8590900574728694
2200,0.11340853555039973,0.12758564456271956,0.8342635239312177,0.8310016261230074
2300,0.10350361206170679,0.10298875182127346,0.7919286746997708,0.7904182173566158
2400,0.09104714249734333,0.1045684901597815,0.7730795814613659,0.7732716548616948
2500,0.08280888263515179,0.09927673381851443,0.7353501872522452,0.7383871196069641
2600,0.08372759445129137,0.09127860746908104,0.7095615099923104,0.7277773412390782
2700,0.07488514054225238,0.08294973229896721,0.6996442499736645,0.6895362396039102
2800,0.06513792290944194,0.0649220754661861,0.6621195840216316,0.66629617188203
2900,0.06947213693719452,0.0693717668983381,0.6343897849125519,0.6368242871695108
3000,0.05899856200304339,0.06255800108823463,0.6042839228539505,0.6044365034715706
3100,0.0714782547047269,0.06898540621183262,0.5784424844998064,0.5799781849502839
3200,0.05179235413804206,0.048825784846490625,0.5428170813531925,0.5327863514671398
3300,0.046629273729515495,0.06218510990087646,0.5109449088059121,0.5033537250679793
3400,0.05681462929108161,0.056205633303255634,0.48005188156010303,0.49617593539726446
3500,0.053923265403270845,0.06005484345594308,0.4495654596690233,0.460547256958567
3600,0.06028431189262065,0.05974403836872824,0.4419873029665527,0.43248336999022996
3700,0.04267487233951362,0.05205267567841745,0.42788059026770675,0.43040495619800123
3800,0.042841399391197396,0.041312965126553414,0.4023493742981816,0.4051596786963285
3900,0.05938541006934846,0.04826706894487194,0.386274224536773,0.39395538182373907
4000,0.04441071200766202,0.06175743200641987,0.3538439216269766,0.3675018573503797
4100,0.0534193018490209,0.06758714955882603,0.35487432446789413,0.35028772304052036
4200,0.05447051419262603,0.06676970530696463,0.34742501442150286,0.3457430374963231
4300,0.06522545836342618,0.06444240567091836,0.33972901064010724,0.34469224860698267
4400,0.052666388538041946,0.0651679442101598,0.33830326776075453,0.3456880307421435
4500,0.05273348938891724,0.07007686727449744,0.3263890595438006,0.31716873802592793
4600,0.06526372094838577,0.0622341656892573,0.33235203267787194,0.3334986488857121
4700,0.06340431503218012,0.07605592353357525,0.33059881448761896,0.33835566252367566
4800,0.07261542203047024,0.05930927798136759,0.3283986718071171,0.31735813064366697
4900,0.06284314679873956,0.08049370922165505,0.3351723246265317,0.32604654961297197
5000,0.06973207432011974,0.07744870414779453,0.33223603119517064,0.323959573151897
