miliseconds,delta1,delta2,notch1,notch2
0,1.004326217207272,0.9902056829842696,0.989394528978935,0.9872887014706294
100,0.9169402717345487,0.9019645261810869,1.0073199386302247,0.9864594098971805
200,0.81094001232557,0.8053410450074228,1.0108347046224184,0.9995887056264743
300,0.7368771174633691,0.7328933328541659,0.9857795783359737,0.9907891392882275
400,0.6734950381868076,0.6586933327784179,0.9875576706977557,0.9773418923748123
500,0.600209481256591,0.6155401143441287,0.9920961666504442,0.9864961631431031
600,0.5635854081423648,0.5407685486824583,0.99757832419112,0.9732067882931696
700,0.5089626042689703,0.48452567989148226,1.0012856632777483,0.9884201215638141
800,0.46568993048867696,0.4523927186162706,0.9852156061321049,0.979379328005721
900,0.4104981104587412,0.4137512635632211,0.9866584092136579,0.983889054799856
1000,0.367298059400297,0.3668802789220164,0.977405017810355,0.9657047555466152
1100,0.34489856462986523,0.3359448945732451,0.9652801428651472,0.9614822367028684
1200,0.3135795497789125,0.29614311532164966,0.9727097323586468,0.9707826577948293
1300,0.27165123032396304,0.280036539382352,0.9723824409052855,0.9588680540747799
1400,0.249945658991571,0.2531251126525148,0.9572467055024272,0.9578345846924478
1500,0.22003294390601383,0.2248307736050713,0.944966938057929,0.9433553286512546
1600,0.2064347882488559,0.21954173073110536,0.9276621685169978,0.9311484422035999
1700,0.17983056770055872,0.18534146986773867,0.9108483780268669,0.910670376154463
1800,0.171213254789306,0.17669809512084494,0.8913309292591933,0.8943610729033854
1900,0.16112742666199684,0.1690331959664245,0.8921260374541087,0.8755409207686332
2000,0.1536506315683915,0.13741773132271376,0.8768607843273817,0.8704726938027102
2100,0.12084416731069486,0.12920081698840188,0.8429520547254498,0.8550671757283954
2200,0.12769756722385778,0.11082410231364724,0.8209042414460216,0.8205396626442025
2300,0.10867857285869283,0.1172171412203182,0.7987456299782746,0.814135323912241
2400,0.09228688345730147,0.09773276151618075,0.771287701746004,0.789719217438483
2500,0.0867683169515708,0.10116736665493382,0.7476694477742601,0.7597868945721441
2600,0.09138724247416684,0.07812551995032042,0.7249509965541908,0.7177119792458375
2700,0.08935105034762302,0.07901601359103058,0.6901227450028847,0.6814644253603543
2800,0.08188538437833998,0.08250467875855308,0.6494647669646828,0.6577070844426803
2900,0.07684666552297599,0.07479503293485022,0.6351025143739564,0.6385037377743088
3000,0.0780485208992957,0.07734236939404909,0.5933723618947886,0.5980085879537554
3100,0.06868378024496469,0.07014302177238595,0.5811243728900751,0.5687292213542037
3200,0.05635206856951095,0.046912073900961165,0.5375557395316058,0.5332519953695752
3300,0.062497694419571814,0.056887939532415804,0.5055964658447533,0.5215720769064145
3400,0.045966603202874406,0.05621266333452331,0.48594669492490533,0.49354649172656584
3500,0.0553098512239467,0.06574597257269171,0.4523894709492624,0.4525965263588011
3600,0.059341143304670725,0.041456271710889926,0.44799355760876414,0.4335161855237938
3700,0.05262166151146941,0.053800539950824226,0.41561034587938245,0.41442721364763185
3800,0.048638626881973825,0.05729390033713753,0.40682367517665824,0.39812083917223734
3900,0.059500523289574864,0.05912973299305827,0.3790666218681987,0.39112493412783517
4000,0.04390088315664327,0.054450986924819506,0.36144993934277964,0.3745717410439619
4100,0.05261443841104751,0.048052034124232756,0.34800628443345627,0.35855790966348683
4200,0.056938280967420006,0.04858302469998433,0.34379982882036175,0.35010577037820295
4300,0.051729845903660816,0.04989859707027529,0.34027587445575347,0.34640150046656437
4400,0.05690917316365336,0.06553917253839878,0.34087268668872983,0.32457582880236563
4500,0.07182189426642742,0.06528906609308534,0.32845737924810786,0.33676901072711574
4600,0.058124663028717084,0.05926486465266789,0.32225230297976826,0.3248081399438782
4700,0.07557545597651258,0.0673204407444841,0.3129120395370838,0.33532949189938893
4800,0.05856906169890099,0.06699097238442842,0.31955265146277056,0.3211905935047807
4900,0.07638923856896193,0.058913317943048646,0.3285671461795144,0.3377264886250262
5000,0.0850860300392103,0.0775336611067194,0.3334394633183349,0.3230771293636761
