miliseconds,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP
0,1.999352174675461,2.374130305025049,0.4998994733813993,0.05250016003723133,4.96810188280453,0.6745996651437031,0.8172073257763008
100,1.894964547249326,2.4827880645000078,0.4463198365627016,0.16570495146717784,4.849190310156697,0.8936725552454001,0.6012042466725342
200,1.832572881895143,2.6214253278205715,0.4286530553850214,0.2297259757021349,4.697128098023325,1.0228017519595056,0.47813828905852157
300,1.7950033419564693,2.6565835645653237,0.42604781789827284,0.2726707501943063,4.597158167200403,1.1017383030755008,0.4019100295557895
400,1.770024146726861,2.708799834440238,0.4299427809898828,0.29990082709081584,4.483843890421013,1.1425423697407027,0.35650311860228096
500,1.7628673658169884,2.7904111469406625,0.43528309064846626,0.319346663267815,4.354484161150242,1.1716533949393841,0.33704115178195215
600,1.7559291731613078,2.8342918852592875,0.44015240039313175,0.3342583334103959,4.296352211772916,1.1776791035184393,0.32372290747625065
700,1.7494053391596558,2.908539492706419,0.4440936658434634,0.3430419557009916,4.247144983820327,1.1820450611297473,0.31799680894521304
800,1.7561946455310458,2.931857997205469,0.44569774495921993,0.35401264787078357,4.164164350697156,1.1793239565707292,0.32655367141008357
900,1.7571415909151005,3.0115448360257413,0.4473810680531462,0.36036427440028834,4.136909439646391,1.1676882589422775,0.32663607372589215
1000,1.7612982684807463,3.0559871738235262,0.4493132846322576,0.3641571548375773,4.039522920195347,1.166238044500673,0.33210369922435057
1100,1.766808558119017,3.0846394196785947,0.45053102036660186,0.36788615562874316,4.0473655639547585,1.1558785772856253,0.3412868604958437
1200,1.7765517921157077,3.1276656665983342,0.449367061409542,0.36763448502121465,3.941165061799494,1.1495551251299996,0.3531201016092575
1300,1.7834036395197619,3.1800741531282815,0.4497995168797361,0.36685582695905333,3.926014294808098,1.1348996570954721,0.35794215883596114
1400,1.791677122914103,3.275050808954439,0.4497206047310811,0.3673010454811022,3.8635385330937506,1.1244951288474219,0.37208361449768135
1500,1.7983775357515155,3.316575111491639,0.4491163258183533,0.3696789916570498,3.800193846914945,1.1167582386375905,0.381185836892606
1600,1.81063783445238,3.388714951827302,0.4487635947598966,0.3724965758676002,3.7413089546900515,1.1122336948566989,0.38237765292515435
1700,1.8184848991909748,3.4122830314105146,0.44729551145756347,0.3706602092178077,3.6854957979153764,1.1058580916700431,0.39604150872537486
1800,1.8236035334268164,3.446893212533281,0.4460286439468382,0.3720210865921272,3.588822541618792,1.0999795032341733,0.40108646504255013
1900,1.837030315127666,3.5117571389492337,0.4456561800393114,0.37108262990232976,3.5576083540766743,1.0844539978613985,0.40797145586781475
2000,1.8410076148050052,3.5959081408235805,0.4451205118553485,0.3685295261144487,3.5065476006120404,1.0793972095699869,0.41850811468478705
2100,1.851893596675564,3.6312862911139114,0.4434797254091694,0.36604277646452993,3.4723720001494858,1.078900727834514,0.4235799880743049
2200,1.8533877381174761,3.636522444062518,0.44166705409830254,0.3652896160114562,3.359049988217153,1.069071476717693,0.4322646650956888
2300,1.8607481574964637,3.732988477673755,0.44113581558261533,0.36680257223010715,3.357637027260546,1.0553102482187111,0.44379304604256403
2400,1.871304038069432,3.757596752865846,0.44001879340782474,0.3632412262953525,3.2561060866824647,1.0565308822130592,0.44442489079667735
