miliseconds,D,CDK5,D_CDK5,D75,CK1,D_CK1,D137,PKA,D_PKA,D34,D34_CDK5,D34_CK1,PP2B,D34_PP2B,D34_75,D34_137,D75CK1,D75_PKA,PP2A,D75_PP2A,PP2AP,D75_PP2AP,D75_137,D137_CDK5,D137_PKA,D137_PP2C,PP2C,D34_75_CK1,D34_137_CDK5,D34_75_137,D75_137_PKA,D34_75_PP2B,D34_137_PP2B,D34_75_137_PP2B,D34_75_PP2A,D75_137_PP2A,D34_75_134_PP2A,D34_75_PP2AP,D75_137_PP2AP,D34_75_137_PP2AP,D34_137_PP2C,D75_137_PP2C,PDE,PP2Binactive,D34_75_137_PP2C,CK1P,CK1P_PP2B,PDE_PKA,PDEP,PP2A_PKA,Ca,PP2BinactiveCa2,R2C2,cAMP,cAMP_R2C2,cAMP2_R2C2,cAMP3_R2C2,cAMP4_R2C2,cAMP4_R2C,cAMP4_R2,cAMP_PDE,AMP,cAMP_PDEP
0,-5.5465883055993845e-05,1.2756408690074948e-06,6.18772011147331e-07,-5.0762547152854064e-05,-1.7475027859175432e-06,-2.463484545043933e-08,2.1538059543531157e-05,-2.016966952191358e-19,1.8140702099058153e-19,-4.185759655302619e-18,1.1759269319594244e-20,-4.4364732675804e-19,-2.7785869592906443e-06,0.0,5.03988527848075e-18,7.511702981762562e-18,-1.074972724601001e-05,0.0,1.3031484642076236e-06,-1.2425027939347625e-06,-1.1140042562462314e-20,0.0,-8.788188575918295e-05,-3.940140444423419e-06,0.0,-5.132567487564063e-07,-6.8055337850344196e-06,2.501692130966132e-19,5.443428347227294e-19,6.587550431115406e-18,0.0,0.0,0.0,0.0,2.628068982395782e-19,-1.3661633754692217e-06,1.426774934253467e-19,0.0,0.0,0.0,9.638148243796025e-20,-1.7568780819136719e-06,2.000000000000219e-06,2.277826684605324e-06,-3.896227389365847e-19,-5.920678500160409e-05,1.548890270348099e-07,-2.125436157669408e-20,4.6419940015509355e-18,2.2714106071113266e-20,-1.2551509307903666e-07,-9.484161392819328e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-1.4922946427182905e-05,2.1958829579378174e-06,-7.19326481895405e-06,2.8322529166317438e-05,-3.0020052404527816e-06,7.758588093492916e-08,-3.028181604992078e-05,-1.3390426393428357e-19,2.6691304968897076e-19,-1.0610131111413719e-18,3.4970136389356646e-19,4.872879606866364e-19,4.045891775753084e-07,0.0,9.141616583582917e-18,-3.3220747165996408e-19,-6.697321904302891e-06,0.0,3.266040560999056e-06,-2.791965816277408e-07,9.255482538462783e-21,0.0,-1.3545081958656824e-05,-3.6212574757576925e-06,0.0,-2.6004555334081204e-07,-4.478827600387163e-06,-4.0832543181476856e-19,4.072487151974656e-19,5.290035580113949e-18,0.0,0.0,0.0,0.0,-8.077594316155497e-20,2.8843710121272614e-06,5.822814914446064e-20,0.0,0.0,0.0,-1.864366853363538e-19,2.5944417049509408e-06,2.0000000000005657e-06,-1.7119142053912558e-06,4.947295530590867e-19,0.00014111099997289343,2.8855326481598253e-07,5.246002486848605e-20,-3.952891370854871e-18,1.4412800254711894e-20,1.0970059245921537e-07,2.8993125474314305e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-7.148059700819533e-05,-1.1116924516423751e-05,-3.432800750421377e-06,6.075486799945283e-05,-1.5947453998241343e-06,7.025878164546032e-08,1.1440490920514701e-05,-1.971321984075252e-19,-6.256923733938116e-20,8.047640674211527e-18,-7.821461834620716e-19,1.7501310124890615e-19,-6.479022171493777e-07,0.0,-1.0874126341272115e-17,2.4797982997886592e-18,9.875334295025609e-06,0.0,2.420688833881964e-06,7.905687718623605e-07,1.6106482079199313e-20,0.0,-3.633407622144957e-05,2.896432317993864e-06,0.0,-1.0239316411034557e-06,-2.3612308231950527e-06,-6.567886676565724e-20,1.2908144603057972e-19,-5.255630231665349e-18,0.0,0.0,0.0,0.0,1.6474455845561458e-19,4.4861283187222036e-07,-1.2050032504335957e-19,0.0,0.0,0.0,-2.742083567287244e-19,-4.806720427823876e-06,1.9999999999993697e-06,1.209830059532199e-06,7.381844215620108e-20,-0.0001472972976573957,-7.954980396307316e-08,-1.5765455371980567e-20,2.6017000678810512e-18,-1.2070641846426623e-20,-9.79319624768181e-08,1.0143837111598199e-07,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1.087699614801921e-06,-6.682173902907152e-06,-4.860977529221145e-07,5.370735084493471e-05,5.526809762897784e-06,3.451627831313446e-07,-2.9384476787411044e-05,-1.3037043978104664e-19,-1.4513861814141111e-19,-1.4975533223012614e-17,-8.31054620034653e-19,-8.893452170342643e-20,-4.11950178528278e-06,0.0,-8.253569130744052e-18,-8.124884294806783e-18,7.940123604351836e-06,0.0,3.689054909749086e-06,1.7187031807664235e-07,1.553379166910891e-20,0.0,-0.00013688776305238615,4.2027248970270386e-06,0.0,-4.225438339013169e-07,-3.316832690947572e-06,-4.0842984348299345e-19,8.42368279978977e-20,3.239794974798761e-18,0.0,0.0,0.0,0.0,9.120954728951e-20,1.8311315392079124e-06,-5.80883284728283e-20,0.0,0.0,0.0,1.9021551588410864e-19,3.75304634991911e-06,2.0000000000023534e-06,-1.75699261259466e-06,-5.139426071434159e-19,-0.00016482248517335376,2.508194796258965e-07,1.0638631435272616e-20,2.13863522809065e-18,-1.660929882183563e-20,-1.2773680827666771e-07,-1.528250823612012e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-2.352114647419409e-05,-1.3193169037733662e-05,7.908279344737157e-06,7.832301922773625e-05,-5.841041073854766e-06,1.1778028111859511e-07,8.921888774188521e-07,1.1534888557089362e-19,-4.972010452240682e-19,8.83006282613583e-18,-7.500196352142378e-21,1.6394233227718932e-19,6.6008174687590404e-06,0.0,-1.7815811460759563e-18,-8.519465569589945e-18,-8.772771412156546e-06,0.0,-2.5932960917682243e-06,4.730252946867746e-07,3.873368356804374e-21,0.0,-1.515710831673333e-05,-6.0448698226844614e-06,0.0,-1.1124978370651015e-06,5.97479317398754e-06,-4.841824041544849e-19,5.402598876198569e-19,8.00699562471201e-18,0.0,0.0,0.0,0.0,-7.923001301703421e-20,-2.6235339599788685e-06,-4.468426597391845e-20,0.0,0.0,0.0,5.530548250944027e-19,2.7426765054250727e-06,2.0000000000042994e-06,-1.0594175116769679e-06,-3.6280785080084164e-19,-0.00028018144415646975,-6.438640170078873e-08,-6.1962679717681976e-21,-1.145155011415171e-18,1.0008420788715322e-20,-1.0466739525418328e-07,3.3491290309209098e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,6.67590296230254e-05,1.1794842747379085e-05,7.232817541944851e-06,4.412138110650728e-05,-4.897544114643366e-06,1.619145460049668e-07,-2.2300848985259678e-05,2.6784842522047083e-21,-5.193994327747494e-19,-8.180411619557447e-18,6.061557702977523e-19,-6.223849421591673e-19,6.784859318746847e-06,0.0,1.4916420712656471e-18,5.9954830615247534e-18,-2.368010217586678e-06,0.0,2.5324480887434303e-06,-5.067472678288331e-07,-3.198504028445603e-21,0.0,-2.0627196644327094e-05,-7.763355413889343e-08,0.0,-6.336232810120448e-07,2.0320678528226755e-06,4.631705436565215e-19,6.260440604111175e-19,7.139407098803832e-18,0.0,0.0,0.0,0.0,-6.463249690432179e-22,-1.418722800180429e-06,-1.421126522483819e-19,0.0,0.0,0.0,-2.4014322297205147e-19,4.720479694952158e-06,2.000000000001824e-06,1.7642915333545333e-06,-2.5591627536243487e-19,0.0002787714192295364,-3.941895405217048e-08,2.5923727663877807e-20,9.879816347970667e-19,-2.2479419623139676e-20,-2.871613047357943e-07,-3.856437577230381e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,7.633160812096917e-05,1.24009396647041e-05,6.362182846481817e-06,-3.703471931903843e-05,-7.029588464688483e-06,-1.3751898977886298e-07,-1.6746311093625085e-05,-1.194406722900086e-19,-1.0472613548145504e-19,-3.4536650992774467e-18,1.5011232859575075e-19,-3.2194569142382995e-19,-5.588279424686454e-06,0.0,-1.0080236300864065e-19,-2.3416272364945396e-18,6.630475970518671e-06,0.0,-4.140161131710675e-08,1.4142971156358466e-06,-1.7176831690864082e-20,0.0,-2.4882579831051997e-05,6.111821402207447e-06,0.0,1.0628936070492254e-08,-5.331940077061169e-06,5.338612486851068e-20,7.821401790687773e-22,-4.362815612979224e-18,0.0,0.0,0.0,0.0,1.4663195182223435e-19,-2.28833967405924e-06,-1.933113541034419e-20,0.0,0.0,0.0,-5.165065613470655e-19,3.2824967358253587e-06,1.9999999999962272e-06,7.642214361354021e-07,1.7191547437574997e-19,-0.0002975274251637935,-1.8014629670609298e-07,3.9085333946982593e-20,6.687222245947874e-19,8.301795013513089e-21,2.1045174680800843e-07,1.5357704212328078e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,5.393264421871145e-05,-7.939838837588644e-06,3.634473184583526e-06,-3.694247170978072e-05,1.5060216678801502e-06,-4.124080495646118e-07,-3.715501799818405e-05,-1.3233874493119625e-19,-4.384291031454647e-19,1.2308319553277622e-17,2.204221661643091e-19,-5.407032564513182e-19,-5.843871635439371e-06,0.0,4.017716039131803e-18,7.557902832765706e-18,-2.0260811281496293e-06,0.0,-3.945888178007868e-06,1.7022364351276505e-06,-1.0389738704128632e-20,0.0,0.00012030679273872577,-1.4367719697194575e-06,0.0,9.210947284289988e-07,5.985629059005373e-06,2.1535208938228428e-20,-5.310960170707965e-19,6.443721536863813e-18,0.0,0.0,0.0,0.0,2.7417372459641787e-19,9.116229594055891e-07,-9.929770229891428e-20,0.0,0.0,0.0,-4.0813886164403643e-19,-5.3162524121514605e-06,2.0000000000029548e-06,-1.2445834885948852e-06,2.0504905844500322e-19,-7.793731119410657e-05,-1.6814430368810735e-07,3.569770489356749e-20,-3.387188825782312e-18,-1.5811430130282525e-20,9.03661364101014e-08,2.231436581035714e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,1.8944280179100688e-05,-9.841805996154102e-06,-7.488731984529982e-06,7.33245308737789e-05,-5.569084022949596e-06,-4.803704541529111e-07,-1.1067819651810936e-05,8.13513362591842e-20,-2.3664103018010682e-19,4.231858840494826e-19,8.0647561350073545e-19,-2.87471134828549e-19,-5.998628457958867e-06,0.0,-9.356360549874118e-18,5.2571999975367996e-18,-1.0720826127997697e-05,0.0,1.67396055327099e-06,6.59416413822986e-09,-1.2841094104084833e-20,0.0,0.00013363664646149026,3.3893234317425746e-06,0.0,1.9002228307838115e-07,-3.3783741256479944e-06,-2.3795236598400052e-19,-6.390616494257018e-19,-4.716880815681226e-18,0.0,0.0,0.0,0.0,-1.5938090521409486e-19,-6.812875803888364e-07,-3.844859604124283e-20,0.0,0.0,0.0,-1.4024810605451053e-19,5.033950470794952e-07,1.9999999999993557e-06,1.5041188323586417e-07,-1.708165701168849e-19,8.714263307509982e-05,-1.5460884199176447e-07,-3.062220732096618e-20,-1.879749027421222e-18,8.539585200499329e-21,-2.63621429158601e-07,2.9749087907420187e-06,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,7.197944003335362e-05,1.0167106637089544e-05,3.928862255537689e-06,-7.0898123302851e-05,-1.8570441561814798e-06,-5.422351312270851e-07,-1.875993987184005e-05,-1.3487089744742782e-19,-3.163324784472305e-19,-4.97347572338449e-18,-8.061978048777422e-19,-5.292363347597589e-19,8.217264679618773e-07,0.0,1.2377050110351823e-17,-5.885069087113433e-18,-1.0077802330299684e-05,0.0,4.523243467930493e-06,1.501734464445605e-06,6.874513897103722e-21,0.0,-5.4354775439869524e-05,-1.65278583136391e-06,0.0,-4.650809798810471e-07,4.788264831472929e-06,-2.4275814689211496e-19,-5.54860321691173e-19,7.694524419716095e-18,0.0,0.0,0.0,0.0,2.4757554848065406e-19,-2.902246921540277e-06,7.948434608859987e-20,0.0,0.0,0.0,1.6697417974679951e-19,1.0310882057308512e-06,2.0000000000018054e-06,8.876336312254256e-07,3.557665606657608e-19,-0.000202468965193599,-1.9516007089332547e-07,-1.908869166509042e-20,2.094937461170989e-18,-9.54506516750276e-21,-6.672158143908456e-08,-1.4878349252968525e-08,6.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
