miliseconds,s1,s2,s3
0,581463.528353591,-333.6820273595348,35354.36787557602
100,584312.6196230589,-6640.453349513368,137032.46190501752
200,571559.8089147075,-5546.179033039122,-105685.59230044423
300,588876.8390780558,-4843.788795691009,127851.15861317051
400,591675.2075636772,3948.4724188444334,68594.10763169211
500,579703.6669609573,4067.760342270679,40176.46884287839
600,581721.1453729394,80.26141704536235,136993.33118591047
700,586618.6623471872,-3195.366629001473,95173.79253041233
800,579627.3595331928,-3329.056788490507,94732.64177130217
900,583178.9141593697,5927.052544543596,-43346.314766681855
1000,564207.9112307279,13590.389524291908,109445.5114200488
1100,554854.1190928958,13714.867535834204,143596.28062124184
1200,549175.7374972071,17911.98845438377,342353.9083525805
1300,533536.5865903774,35719.65226118432,288224.5096965469
1400,493270.3364457814,61915.777466467174,860228.775869315
1500,459580.0571384734,106340.78870772726,1170330.2486964595
1600,385506.4402097079,157177.33175285035,2026019.6196135234
1700,305613.9789911779,236637.52510007855,2846645.1224320177
1800,230120.02686561516,303161.6753418101,4238223.034023737
1900,129112.05504777915,374989.0128866627,5609662.887628632
2000,77094.55656352514,416788.257264395,6863601.672064456
2100,26328.121610818074,431034.74222143495,8031229.197289342
2200,15562.1912998294,419874.5084404909,8637934.45519903
2300,3859.199707040268,403023.0950009307,9009715.695442965
2400,-9529.61889019416,383390.59969201265,9306076.918066682
2500,-6247.580357561496,369934.18286976084,9094076.670231994
2600,12500.135831716845,337611.7428939148,8707643.084036058
2700,9596.982660080705,329424.3725565086,8401572.635163395
2800,6010.531840622352,305578.5160099882,8233156.101389868
2900,-5006.985207417376,281842.3164081841,7848310.259670137
3000,-8712.078680586033,274529.65915850626,7284715.092850679
3100,-10508.910046235324,251834.74708999583,6991691.3151590675
3200,-2562.9980065115956,242209.9693995775,6707479.513796886
3300,11552.590461952897,227863.6085407244,6121730.511156253
3400,11766.568883100657,213480.34307105205,5930506.267779158
3500,7421.894979733109,199216.89433760676,5629256.66213811
3600,-2882.602027871261,183891.09395056646,5284824.267060991
3700,2374.504250350792,180479.2067593918,4816688.72629361
3800,10353.183322091716,162578.68951522576,4557537.102960274
3900,-3423.7117302169236,161222.79044082796,4412742.133623706
4000,3421.6582187791128,146770.78333971623,3987357.525436299
4100,5503.342638845873,140484.15513400696,3828964.7327824715
4200,410.055014515255,134816.56315598762,3654084.9651498133
4300,2741.287368149585,119764.66453315382,3524003.3573120427
4400,-2295.1388811613097,110759.7276723969,3257611.6600586963
4500,565.4942585975933,106300.08765411023,3105313.574149983
4600,-578.1754061823333,106198.07833281122,2776319.7233953206
4700,-2359.6241841378064,90739.47373540877,2692723.600698768
4800,-147.30889694433637,90924.15879857162,2455707.1766493614
4900,-955.7160808198599,85886.71852835634,2474348.2717801677
5000,-7783.580369272682,83234.48476027978,2412482.4689517543
