miliseconds,s1,s2,s3
0,590314.0349891012,-3765.793865005201,118704.40584631028
100,579614.1798662037,5838.691472228548,109541.29511705828
200,568317.1719507794,-2391.232441345287,44481.971330509434
300,570273.2090490499,-79.23910189051205,-3748.9837460104136
400,576103.4849383875,-3753.2806462687204,-67818.1813031647
500,583715.9287725063,3097.8222139208365,112864.96354392328
600,575962.2836089131,-2271.446859806105,126013.91567802128
700,589731.728595019,-4788.431246148566,-137715.68516734795
800,580381.9015600085,-2305.593130878731,-116097.16053725177
900,578384.4781915802,-882.8515771973498,12296.632312867834
1000,562650.9479466961,1795.305696871059,-30541.042688943868
1100,570191.8612229774,18258.836142540655,83373.93780485974
1200,561159.5859355206,22470.924089755856,326931.0045873391
1300,540645.6093813083,40391.25502663379,372773.91316775465
1400,499539.8299791964,66621.90053913697,681034.424739722
1500,461380.7804816681,107834.76140802748,1140317.3698870514
1600,407446.6887364171,160848.15124851052,1975423.1008984782
1700,302797.13172609475,238761.47470214593,2777297.7277351413
1800,213377.6137479912,303662.82289929234,4146989.0768336104
1900,138397.99078340386,376380.00650493725,5408160.295753149
2000,60984.48930564543,412106.4024942874,6942703.324835864
2100,35991.072542153655,423747.244017651,7963467.95948361
2200,13440.431969545993,423361.7184364476,8666408.76071209
2300,15406.99602369827,403550.97612191684,9207476.890135912
2400,-6093.668670598131,379123.634053482,9235208.820109906
2500,-2333.110290337886,370159.8829119168,9240634.359266078
2600,-3924.765652118589,344566.5417631927,8973999.996787684
2700,6619.38909634823,322104.4908956061,8564636.239947088
2800,4867.554662084876,302606.1472932112,8289691.277460909
2900,-4907.62649652286,284897.1994348655,7810910.479901248
3000,2793.758976022412,266468.88719146105,7301003.011527786
3100,-22.625796508765184,259085.49393977365,6847044.699077533
3200,-488.49032290181174,241662.68734488552,6580275.402867251
3300,-12836.564123138525,227604.01615125852,6387234.37636352
3400,4372.596533902186,212534.763103076,5763096.495642981
3500,-5371.504725104069,196114.23214893445,5672286.401792135
3600,846.8899534865554,185768.13218003613,5315810.4459340405
3700,-6679.427005369456,176871.55818426397,4871858.829380007
3800,1932.036755511617,168794.73610087018,4572980.40060535
3900,343.4265936535091,160636.1333527065,4465587.025673988
4000,11277.217951339278,148873.6546620086,4019496.7941529457
4100,-7580.639807815311,134190.78211980665,3944624.463819824
4200,7016.104515824655,136114.77059316917,3505516.7317105
4300,-11037.267039450073,128898.41097622093,3492231.7606017054
4400,10220.383264590864,116938.16565707461,3129158.04785595
4500,270.67357476171554,116623.56050523612,3172191.8652207907
4600,-10435.763435475212,108703.73054869988,2970941.2964044865
4700,-3181.888594009344,94154.22523421198,2799741.39129425
4800,-7439.478708445041,96813.37826710704,2414556.8589778896
4900,-1132.343999917147,86648.92100087657,2513901.081961153
5000,-11267.478722216194,81899.10636324546,2129475.4672494605
