miliseconds,s1,s2,s3
0,585916.2719326557,-3622.343205389568,30016.64753630272
100,591753.5011331538,-6635.478890166439,-126777.41579111281
200,580324.7106370907,-3191.630453256928,55269.58012108551
300,585589.1510887573,1398.231228750446,-149074.4047269035
400,591239.4197368836,1375.8971452181681,-23566.566390414897
500,577585.1048992731,904.2543554726435,-129379.72578193969
600,581767.8284603017,-2487.810031346061,-59533.34189250521
700,576871.4521215158,3596.4742599516885,-87200.45444851085
800,587823.0181872583,8832.98967016961,42517.79291845689
900,571729.2002560328,-1003.0803103328162,161259.58425763928
1000,570325.5493615732,10018.852306175746,210071.68619633105
1100,562363.3387055962,18093.443015571258,293535.79027318576
1200,556183.0895900547,25983.33128680837,398246.5996093917
1300,547162.4369208929,46392.65748340536,381710.150254759
1400,495171.3773933788,59500.165218358336,782857.8538011311
1500,460821.27531514096,100371.74879981844,1220827.178644359
1600,392672.05782756925,164924.27830399832,1786238.5431982568
1700,304386.1033833103,232921.85923720236,2776661.182486069
1800,218884.67854778672,303051.24750639993,4009410.82983153
1900,148274.15335468444,374784.97857321514,5590657.574499253
2000,84057.88570360892,410343.27475346345,6792291.310291387
2100,25247.365454071958,433109.1343015218,8112149.402357067
2200,9733.805717994881,426872.5939185577,8821413.309552403
2300,-310.75790461601537,402677.4128960869,8966327.352059087
2400,2481.8174886817815,380115.92374455434,9305642.804981537
2500,-510.26005931559064,366906.55908874026,9007424.56930399
2600,11179.672402239676,339604.696282917,8935594.174211998
2700,3223.1965816328843,319114.4314147088,8540712.025133984
2800,-6960.911104050485,303526.94769780885,8084475.485170313
2900,-3356.566993066535,291897.2676486691,7678895.19413354
3000,-4756.803134208739,268193.315435301,7393300.579031633
3100,2725.5208161759765,261314.67154326115,7112074.225110704
3200,8516.55945845839,233602.74417134834,6718076.942012146
3300,7216.795428089868,231508.6141383449,6385318.920451942
3400,-5299.051042447564,216449.51500049472,5757217.844468739
3500,-2082.654505296549,204132.75370213564,5539865.361445784
3600,11005.393734956167,191580.65499300545,5177883.512688232
3700,-609.1628347672197,180273.02479868472,4970748.243165518
3800,-1242.2380545346973,167729.22055899305,4761830.741553961
3900,-1439.4787070586488,157975.2598710487,4466489.028303165
4000,2290.489581183442,148559.03291576865,4048885.497339597
4100,-11206.235244516589,144513.92531020762,3908819.834756456
4200,11989.111951211862,138410.1525116421,3799816.7506085043
4300,-1692.2296562204513,129227.40298644248,3420237.137221625
4400,-732.1708251678557,122089.9003822887,3221601.5539351585
4500,773.2945760814752,110199.52079603198,3004630.135519011
4600,-1430.3367089577519,108096.38857361562,2764997.7172955833
4700,-5890.975751970251,96865.46435507199,2740265.0663529513
4800,8694.065000894741,93602.51997143165,2533268.0730070337
4900,4492.3132939162,84138.8998501847,2466608.105352898
5000,10937.2789033586,85412.88587917271,2201045.944702329
