milliseconds,O,I1,I2,c,T
0,-1.5856106457692286e-06,-4.120959436700474e-07,0.9993264258525086,-0.0029046727329709284,-0.12096579538087324
100,-1.483645642088737e-06,-1.0962370685356056e-07,1.0007726129003929,0.004065609605450525,0.23315732559373264
200,1.3862939309418568e-06,-2.154588558714813e-07,0.9964300254891767,0.006867802963151817,0.12254340647973629
300,-1.9002062502285884e-06,3.997608744631582e-07,0.9953462383795461,0.006271875068053371,0.4233169769225987
400,-3.150711542467155e-06,-2.072942827047525e-07,0.9915959840847257,0.008865633656797604,0.47679274509753045
500,-7.365775231534375e-08,1.3743354604970877e-07,0.9903947484602563,0.01559795083218197,0.45845190077106257
600,-2.5077055291347674e-06,-1.2394095417812288e-07,0.9862638728354491,0.017419886244812038,0.5150093572492955
700,3.939802271830125e-07,7.781709072334491e-07,0.9866336674302343,0.016578476655103036,0.841007388382921
800,1.9501860518616683e-06,-4.1791567279088313e-07,0.9859696927535715,0.020961428573071445,0.7379093116637379
900,-1.4035704309298754e-06,-6.029863107843886e-07,0.9797213905568763,0.0247998309269691,0.9145106143970781
1000,2.60756752799105e-06,6.05149541839879e-07,0.9820181223505308,0.02169423777510095,1.0457217631459372
1100,1.475679985559659e-06,-2.7376831535857125e-07,0.9782129677331373,0.027376526273805914,1.2152107893473982
1200,2.0661001919690793e-06,-8.785901507453531e-07,0.9744097322233537,0.02853655452556975,1.244671198979198
1300,-8.623581040680992e-07,-8.508487161139428e-08,0.9729103708675794,0.03436104331810015,1.2521856653961403
1400,-1.7837807446831162e-06,-3.5183046900630373e-07,0.9710745717636914,0.03645045034873471,1.5139453235326432
1500,1.899072263572075e-06,3.2841238831589347e-07,0.9694565743911884,0.03856515326299609,1.4842329200717643
1600,-7.013885199815689e-08,8.214178568411199e-07,0.9678254152044938,0.04039993652745309,1.667238091015316
1700,2.431629276380561e-06,5.636511394141988e-07,0.9672885866354262,0.04335325247898844,1.6901359989211904
1800,2.2055183743914193e-06,1.9271799607882137e-07,0.9628259170782029,0.045470742580507165,1.7714632084669892
1900,-1.3180582789003598e-07,-6.97250630289382e-07,0.9611008695746999,0.047388971812010704,1.8003080775673788
2000,3.3564394797312697e-06,-5.458939494593591e-07,0.9610722729342773,0.049921211711253084,1.8900029189749654
2100,4.635011664727245e-06,7.805001107370076e-07,0.9571391223596748,0.050507221246813755,2.0873924195765676
2200,4.479224217832322e-06,-1.0237229009821694e-07,0.9571301762726572,0.05452793973633852,2.1969937726742237
2300,4.210515259746301e-06,1.6928112437679225e-07,0.9549707365715963,0.05838404217850617,2.1701331188627915
2400,2.199270543830491e-06,-3.3787717909327854e-07,0.9553897655490806,0.06002610926570088,2.318811854353402
2500,5.59841313374214e-07,1.284278589411641e-06,0.9491812668741966,0.0629478189042316,2.488313813930794
2600,4.409020827910643e-06,8.323300729185726e-08,0.9472118711839284,0.06559896859197577,2.62911375347516
2700,3.72027520421692e-06,3.021575168205061e-07,0.9477573020662025,0.0625841879807239,2.5724986762827124
2800,7.635223319587476e-06,1.7349336764151743e-06,0.9472999212241722,0.0653124407204712,2.7715775669627774
2900,7.265365702333233e-06,1.0383449043889695e-06,0.9457284351840615,0.06995646091574145,2.823858143644215
3000,8.055328351551816e-06,9.568209040459773e-07,0.9424471597696605,0.07257945128654603,2.8613886645083415
3100,1.032435546499608e-05,1.8645769470149961e-06,0.9412689707179933,0.0718684023753861,3.0922184306088605
3200,1.3203632210732298e-05,1.744148442645579e-06,0.9367739341137793,0.07820986713477113,3.1927382540710716
3300,1.605163504012827e-05,2.354883144275815e-06,0.9358898322855628,0.07484662677968879,3.3607590545904196
3400,2.051760099713117e-05,3.278775453376802e-06,0.9346914573562567,0.07860790752460228,3.4675524115947076
3500,2.359825063767543e-05,3.738475343159016e-06,0.930738115219659,0.07987449963239394,3.5317795216634966
3600,2.1938240223902452e-05,5.1571939122781464e-06,0.9327418567353232,0.08301052161988327,3.675457820114467
3700,2.953677268237063e-05,6.133076945515026e-06,0.930433991533741,0.08366666294427082,3.8176300362588442
3800,3.0123756492740676e-05,8.240974101970351e-06,0.928020192508622,0.0881422663929877,3.788075836470769
3900,3.792022858620085e-05,9.277461729871191e-06,0.9268439902633266,0.08922686606266343,3.7603621786780868
4000,3.863855106435328e-05,9.712814867274683e-06,0.9214627102289802,0.09293300085385979,4.1159080933675565
4100,4.93420472141584e-05,1.1523602656180976e-05,0.9213474205430058,0.09263528577029599,4.074824131349958
4200,5.593572256557579e-05,1.3961889157088724e-05,0.9175795735669549,0.09355198683136581,4.121941437231585
4300,6.243682878963021e-05,1.6278289724963925e-05,0.9157322932692682,0.09469340487804005,4.373955288307716
4400,6.665386041575809e-05,1.832420478596736e-05,0.9143192500279336,0.09858781919170109,4.363904608885313
4500,7.664695172720301e-05,2.0537058713728747e-05,0.9114547841056194,0.10310879907163313,4.572990974746356
4600,8.045059183057163e-05,2.316097733707264e-05,0.9110849114363319,0.10131164432603203,4.739986947375943
4700,8.944884404967019e-05,2.5296354872053736e-05,0.9086754584981573,0.10466538999959404,4.8152289864679245
4800,0.00010102147345620109,2.9267178138538052e-05,0.9061713454344442,0.10596753868772267,4.703302783438231
4900,0.00011161136598049978,3.24998780414619e-05,0.9084742186177654,0.10748029546924513,4.76924537183155
5000,0.00012296668295150588,3.6643702786442046e-05,0.9057443656753971,0.10730744364026971,5.147904099494801
