miliseconds,C,M,X
0,0.01027474921608914,0.010063691971031982,0.009971418599007803
100,0.011235855039187424,0.00024630928530310563,-4.0693919628776754e-05
200,0.015764811961235945,0.00029342280619971365,2.708538958867482e-05
300,0.019039318659312632,0.0003568556167123817,-5.842887823068949e-06
400,0.018482941610513608,0.00044052273999297797,-2.4383765696416746e-05
500,0.02252280296327477,0.00042964839728772337,3.6049151755122086e-05
600,0.024643862372246205,0.000575705885262598,-4.3824118263121554e-06
700,0.026546513973774256,0.0005858706973062061,-8.391558259063124e-06
800,0.02812995617231809,0.000616752686161473,5.3850882592201554e-05
900,0.03262384317322221,0.000741166304326451,-2.4979661763002008e-05
1000,0.03399912210767922,0.0008083012516081648,1.4267752204386842e-05
1100,0.03760058978901587,0.0007335831326867846,-5.076260688087547e-05
1200,0.03799808945929018,0.0008962391267151408,-6.0152703027647697e-05
1300,0.04268009561060914,0.0008816295729514051,-5.1141628312913756e-06
1400,0.04638110353574417,0.0009368759691218895,6.670396151983186e-05
1500,0.048839262100341015,0.0009893019312515222,6.524084653350659e-05
1600,0.050609306299841714,0.0010702161437007016,4.5965096464746176e-05
1700,0.05138291501741711,0.0011718738443147988,5.7641394833136976e-05
1800,0.05461301364679434,0.0012789634553627555,7.188076197808692e-05
1900,0.05741237596413009,0.0012080586514130335,-1.931788456006697e-05
2000,0.06082848333929086,0.0013745656627441418,5.083820497594691e-05
2100,0.06088275466363821,0.001323129960277732,-2.7465982810951016e-06
2200,0.06314386886232867,0.0015037903472297314,-3.086072651413605e-05
2300,0.06668853059741506,0.001492112241067824,7.94140200585963e-05
2400,0.06786077306831952,0.0015262872848283487,6.835904478178668e-05
2500,0.069890695097671,0.0015786521061486602,-3.026562652233485e-05
2600,0.07350270238528865,0.0016685022274382283,7.021065350594797e-05
2700,0.07520142005745918,0.001716657155781752,5.208764136185797e-05
2800,0.08037723262442209,0.0017895396873522193,3.7144502203484313e-06
2900,0.08169206926656045,0.001873838211823514,8.049013180688513e-05
3000,0.08318080093593341,0.002060549568866407,-3.018062779496155e-05
3100,0.0871678883913193,0.002107284697198769,-4.0075393069210866e-05
3200,0.08722758409264542,0.0021398828852902626,6.985057365816966e-06
3300,0.09241334408093083,0.0021374954709986005,4.8981027994739736e-05
3400,0.09481913986810266,0.002270289492198053,5.258339123177543e-05
3500,0.09397878564390773,0.002292514989364065,-3.91996766002773e-06
3600,0.0987007834355888,0.0024437318491930624,-2.7345309629546486e-05
3700,0.10018595044759504,0.002477292156295088,6.483104123211394e-05
3800,0.10248242954089232,0.002519892684653761,2.711787608465038e-06
3900,0.10435931709267315,0.002690656812112951,5.0145291398035545e-05
4000,0.10821861991215719,0.0026555087581361884,3.097349557417246e-05
4100,0.1098292275416952,0.0027614958674348376,-3.353575066525185e-05
4200,0.11354944109413477,0.002825120362509366,3.12651851398446e-05
4300,0.11405731928061254,0.0028871081036523335,8.609434476963593e-05
4400,0.11583965433926735,0.003095764498157875,9.247038197419059e-05
4500,0.11980891404030687,0.003106379745399316,1.7602348484543124e-05
4600,0.12176892965589929,0.003249993806554158,3.22583728280072e-05
4700,0.12272927495809409,0.003339752226412244,4.656824800293491e-05
4800,0.12694447418218194,0.003400409718177028,7.511272810739977e-05
4900,0.12802569002463904,0.003454479579339791,7.044516225304816e-05
5000,0.13000981089859154,0.003530166345718556,2.7681980968659203e-05
