milliseconds,Agonist_1,Agonist_2
0,1e-14,1e-15
100,1e-14,1e-15
200,1e-14,1e-15
300,1e-14,1e-15
400,1e-14,1e-15
500,1e-14,1e-15
600,1e-14,1e-15
700,1e-14,1e-15
800,1e-14,1e-15
900,1e-14,1e-15
1000,1e-14,1e-15
1100,1e-14,1e-15
1200,1e-14,1e-15
1300,1e-14,1e-15
1400,1e-14,1e-15
1500,1e-14,1e-15
1600,1e-14,1e-15
1700,1e-14,1e-15
1800,1e-14,1e-15
1900,1e-14,1e-15
2000,1e-14,1e-15
2100,1e-14,1e-15
2200,1e-14,1e-15
2300,1e-14,1e-15
2400,1e-14,1e-15
2500,1e-14,1e-15
2600,1e-14,1e-15
2700,1e-14,1e-15
2800,1e-14,1e-15
2900,1e-14,1e-15
3000,1e-14,1e-15
3100,1e-14,1e-15
3200,1e-14,1e-15
3300,1e-14,1e-15
3400,1e-14,1e-15
3500,1e-14,1e-15
3600,1e-14,1e-15
3700,1e-14,1e-15
3800,1e-14,1e-15
3900,1e-14,1e-15
4000,1e-14,1e-15
4100,1e-14,1e-15
4200,1e-14,1e-15
4300,1e-14,1e-15
4400,1e-14,1e-15
4500,1e-14,1e-15
4600,1e-14,1e-15
4700,1e-14,1e-15
4800,1e-14,1e-15
4900,1e-14,1e-15
5000,1e-14,1e-15
