miliseconds,NT,NI,BT,BI
0,1.000371657199532,-0.013945892896306877,-165.92823165152146,31.849092172241225
100,1.0002716945068078,0.20980988672268722,221.77563174583338,1781.422717358006
200,1.0012196573642582,0.36372855561812867,873.6908798153281,3149.059356711248
300,1.0019957137685946,0.6122852203695807,1147.8551415790112,4276.063404687692
400,1.0020770935581513,0.8112369576859735,1654.0453669348983,5187.3825535963415
500,1.0027565321482608,0.954251976078534,2376.7928917033228,6081.411522542376
600,1.0036687628381986,1.1160941037249517,2876.2492300107406,6506.950571557251
700,1.0037826918909434,1.3021077203250744,2951.1137442587647,7170.108117403653
800,1.0050626251555204,1.4441885404158066,3650.205993868171,7566.648424465861
900,1.0048594454113318,1.5733929637510118,3935.897230501474,7711.033224738166
1000,1.0055888981101446,1.7378643095540667,4192.896684461289,8008.749872466304
1100,1.0065712336470212,1.8694383114520015,4465.3677358015175,8327.15171123805
1200,1.0073244112353605,2.018438527461113,5367.4102070121635,8413.904279949924
1300,1.0073528812391104,2.0519601306892583,5524.296510398227,8615.746542561563
1400,1.0081684682264147,2.297917592298256,6070.657018769998,8771.63966205419
1500,1.0085617954218284,2.4071310711982368,6071.182414477971,8732.29691606661
1600,1.0089369643835528,2.530032420872547,6478.505959361052,8811.800997810717
1700,1.0102880442259699,2.615024902966707,7009.093809884851,8832.73301373601
1800,1.010389994500276,2.698269835182874,7487.487512212126,8898.095395414426
1900,1.0112056747302887,2.7799427328145563,7884.605851648982,8913.83835235567
2000,1.0115567634426146,2.828602267872035,8018.205454225387,8965.708347289908
2100,1.0123881836152766,3.029631334539664,8351.460247637993,9076.59002818133
2200,1.0123646037642742,3.02212722122786,8818.094942304477,9137.872890658624
2300,1.0131122057384807,3.1088517472027717,9333.205018486704,9062.854417832188
2400,1.0143394896360904,3.1861425361504048,9748.04759100226,9079.061160872103
2500,1.0145024702737704,3.2491371057399596,9803.582090131566,9138.763114124115
2600,1.0153626878396176,3.352223830786664,10129.627402010317,9149.942707743729
2700,1.0155547338558037,3.5161548445926267,10778.537311710481,9151.114083938035
2800,1.0161016268863305,3.557256353362934,11215.153954950332,9106.03021262013
2900,1.016795590270773,3.631737470689395,11311.408348571955,9064.75867518523
3000,1.0175169566905176,3.6194763460590895,11662.080881299808,9034.271427419932
3100,1.0183300942446718,3.771054535625672,11798.543997921397,9059.124060176624
3200,1.0185910503522022,3.797347491165858,12079.389235294342,9147.1563066223
3300,1.0192351585277855,3.8070044577519933,12570.638181270884,9152.000328240742
3400,1.0197811282426967,3.8818541853625614,13007.948282057629,9180.797349499806
3500,1.0203267680798307,3.9723224233413506,13323.884659488152,9108.623448910124
3600,1.020611496399852,4.032843995120818,13589.422623140066,9165.283732065718
3700,1.0218501775649131,4.100782700233433,13898.98072408568,9037.626072990595
3800,1.022159446784514,4.106627190470912,14220.763170048409,9186.397130847989
3900,1.0227669990295403,4.2075707969332,14334.450177802564,9116.5793088084
4000,1.0238166264778776,4.204748366773777,14746.701746617062,9075.523900548595
4100,1.0242968598625375,4.278540119765226,14868.64654120296,9125.862011143361
4200,1.0245770560167462,4.28413237187013,15541.09055176816,9167.299949237013
4300,1.025179672488684,4.393724228016326,15820.405712880909,9094.307969690752
4400,1.0256340343962627,4.424308915116692,15949.522411551916,9118.792852808554
4500,1.0259941069236707,4.397694079508382,16366.59795130693,9192.681250343538
4600,1.0268627398161956,4.436992815636973,16223.52009885968,9199.224581867871
4700,1.0279393547381943,4.422531494999133,16809.6317682611,9073.548873531636
4800,1.0277531436618348,4.572868840956995,16986.04891991396,9036.873088642347
4900,1.0282918691815695,4.489628511973559,17073.681902801105,9099.37928885306
5000,1.0295085971481892,4.565508665671143,17567.760972546996,9155.160606833424
