milliseconds,M,P
0,1.008092853702959,0.9985857910273481
100,0.9972520748087809,0.985055665658487
200,0.9938034617727745,0.9916916805088384
300,0.9759566444793503,0.973707163194016
400,0.9696841284230412,0.9721955749661749
500,0.9679977395263768,0.9435318551386116
600,0.9674924828710381,0.9226022138448693
700,0.9575165746794504,0.9282653710800008
800,0.9653372295626667,0.9029590395118703
900,0.9511959885802517,0.9090560991329208
1000,0.9535289234777645,0.8817823990862826
1100,0.9528539361141692,0.874335758136335
1200,0.9381763726163936,0.8489581498346633
1300,0.9379354186113033,0.848160576389939
1400,0.9338982262871246,0.820217753763333
1500,0.9380240731996897,0.8265922932743974
1600,0.9240770895203833,0.8164737869469882
1700,0.9224949370153557,0.7818933967032103
1800,0.9163231356130958,0.7565869081387366
1900,0.9214121116390979,0.7669395862995166
2000,0.926766295004543,0.7310927472205359
2100,0.9176760368034983,0.716909853945195
2200,0.9251093892326985,0.7051352483454729
2300,0.9242448384859349,0.676378599461819
2400,0.9243874057803887,0.6683351539685534
2500,0.9242788648044792,0.6487487146757971
2600,0.9215566612124255,0.6382763694654883
2700,0.9194807710087881,0.6126402495825665
2800,0.9141434295889488,0.5900477668455516
2900,0.9202322491071774,0.5731325274801401
3000,0.9354204572272786,0.5350964957805455
3100,0.9274257835258835,0.5132946982661216
3200,0.9391371451369942,0.4943768308133475
3300,0.9382872530356418,0.46651015135975216
3400,0.9461972351319795,0.46373567817413985
3500,0.968994109146969,0.41968029344249047
3600,0.97833552376888,0.3945239007097023
3700,0.9908250090666608,0.3888486406118501
3800,1.0046452332813438,0.3374889623021849
3900,1.0255009556751788,0.31661938233365056
4000,1.056948496444881,0.30791921613391504
4100,1.0791057225256364,0.26692532650907147
4200,1.1099868218864968,0.2502086771922985
4300,1.1456799651064247,0.20821237900296075
4400,1.1891956421881518,0.1692826509463079
4500,1.2494374624118953,0.13331132419106853
4600,1.3161774602757996,0.10668552497080472
4700,1.391967229293569,0.08688751934334449
4800,1.469569387026927,0.03544325087704344
4900,1.5556052298144762,0.03321285829657407
5000,1.6420734444047813,0.02645718839361749
