miliseconds,P,Nstar,D,C_A
0,1.0048091379126651,-0.000977637190336525,-0.0024825198584246667,0.12360204523430923
100,1.0087460529289958,0.004618315317648449,-0.010784195755656414,0.12413745759267779
200,1.0048009841114527,0.006063306919434449,0.007023225820154974,0.1240096323067976
300,1.0086740701906358,0.009922852968135977,-0.006504977857658366,0.1261515977820884
400,1.0088915702313286,0.013201747762560613,0.011902476515275913,0.12401393782615705
500,1.007141762898471,0.01817874508280986,0.005055637956091985,0.12494079532119676
600,1.0133652933167274,0.018588358247996237,0.0068010154099610014,0.12476212342560053
700,1.011035321963789,0.022383789350058372,0.0015388331952209903,0.12564507651055834
800,1.017366029929729,0.024241590646807268,0.00866548547619336,0.12546862043511642
900,1.017122112584027,0.027439336137091964,0.0013468214089447984,0.12622551486056235
1000,1.013413009812798,0.03272045115882639,-0.001655781956306098,0.12624592673977386
1100,1.0141947600053405,0.03339303507289241,0.005719717251756,0.12705014104147785
1200,1.0095491728659687,0.03914514227793037,0.002892088531240308,0.1273464158395995
1300,1.0110408846983447,0.04076170660674213,0.00015883743430480848,0.1279892353631358
1400,1.0016265762701893,0.04377043858404378,0.0011692961084547458,0.12599107136825688
1500,1.0059637429724648,0.04857912628055887,-0.0010400711393317962,0.1288489272879416
1600,0.9931703531731815,0.052368831079540504,0.005599288215169208,0.12788623158952686
1700,0.988482029458433,0.05190106443326103,0.010714331912103876,0.13108794277030622
1800,0.9882366250511555,0.05603174458081077,0.014380604935602975,0.13259436584259696
1900,0.977772041829046,0.06000187022712653,0.019805550999101296,0.13458071903886978
2000,0.9822451203932521,0.060905243085279115,0.03386777101299219,0.13652489378970178
2100,0.9760668217414319,0.06572115735308512,0.054529876922278626,0.13805841419175127
2200,0.9644909104122925,0.0691186953505087,0.05154178294953611,0.13886613043390028
2300,0.9583521997861818,0.06967832174217022,0.0661185951856313,0.14414394365208225
2400,0.9516046638403813,0.07304180102306466,0.07371208063829124,0.1462751786756966
2500,0.940402689470118,0.07596149395219359,0.10478177107480348,0.14718265379606998
2600,0.937781135192599,0.0800302851012545,0.12111077108668741,0.15020465019010185
2700,0.9247549007649354,0.08240960884542407,0.14118008418400532,0.15421805887886209
2800,0.9143280353363703,0.08427169567862078,0.15244053959858825,0.15653851824045484
2900,0.9076002429345743,0.08864647658203294,0.1710746864128816,0.1619704929848569
3000,0.9002938445562645,0.08955172525682496,0.19531873172318742,0.16404424453350824
3100,0.885725515524389,0.0902211395445131,0.2315074220800257,0.16791423736842997
3200,0.8763720802168925,0.09485729779177668,0.24828213857862869,0.1699603951222377
3300,0.8668904782195608,0.09550858158318966,0.26010196128644797,0.17251698606695443
3400,0.8574304306768299,0.09874984039211343,0.2870941623527685,0.17756821072845214
3500,0.8416770263692308,0.10129123336122821,0.32550096035401027,0.18049605620649883
3600,0.8402135077370402,0.10344128561570066,0.34670805869555626,0.1822881046358729
3700,0.8266536314354973,0.10805540625237346,0.3842715755167665,0.18457846441433304
3800,0.8177045435055382,0.10882350150801527,0.4093216769462785,0.1875719301249484
3900,0.7980259980001067,0.11182073220650278,0.4250140072176759,0.19144935322866824
4000,0.7851802133788437,0.1132543233149806,0.45413352447447514,0.19366133668639976
4100,0.7807848699770352,0.11438799295422518,0.4722015432663217,0.19931090055856526
4200,0.7600239773167659,0.11861092507927312,0.5193414812402353,0.20139624273114476
4300,0.7540305464448388,0.12062371262494356,0.548772078221386,0.20367145485131272
4400,0.7421531619588584,0.12029490629101712,0.5726016712948454,0.20796664664993633
4500,0.7291424903464313,0.12272640555366948,0.6004726495637306,0.2087228124201512
4600,0.7118892778818332,0.12341274534530638,0.626006776389738,0.21404791728952757
4700,0.7031655330114034,0.12680744514989437,0.6504331257465906,0.21458980174513254
4800,0.6842261726376602,0.12820035410505545,0.6737195928886263,0.2201242167045994
4900,0.6702298400694998,0.13165239577701096,0.7082781374972184,0.22286238107842554
5000,0.6575986050125061,0.13237517850786248,0.7436291142590356,0.22397403476712935
