milliseconds,T,I,C
0,0.5007383733530505,0.009982849574726482,5.5816423394982533e-11
100,0.5001156868224049,0.010010039511769942,9.944823188470886e-09
200,0.5011930742157209,0.009925359745385326,9.909560810000163e-09
300,0.5013776969963776,0.009940338066164242,9.935154633589729e-09
400,0.5023188307165461,0.009884894618107275,9.745465997630998e-09
500,0.502208839895429,0.009810423754693773,9.914441782949113e-09
600,0.5037018821733633,0.009840307227399099,9.858728836048237e-09
700,0.5040825068538917,0.009781031359695519,9.740156946308332e-09
800,0.5045336669775422,0.009738058049352393,9.695294241334076e-09
900,0.5044220971142908,0.009774937287243698,9.646483991874237e-09
1000,0.5049391247147732,0.009678122108127296,9.741454078545696e-09
1100,0.5057847894654025,0.009701131149470393,9.764875435959326e-09
1200,0.5064129081103199,0.009665596993565317,9.769705049878117e-09
1300,0.5064859856029462,0.009648909407654942,9.750007850904323e-09
1400,0.5076189113284586,0.009573297674215454,9.618101258999843e-09
1500,0.5067926887427,0.009573217546957946,9.703961114264749e-09
1600,0.5078721361111969,0.0095044077739082,9.647550621712592e-09
1700,0.5088901989756432,0.009471019774901631,9.653190544667389e-09
1800,0.5091279112216643,0.009446288744056286,9.60060337739509e-09
1900,0.5097923904002774,0.009433960535853256,9.638455551424314e-09
2000,0.5097294945866458,0.009432574748886945,9.648750987132406e-09
2100,0.5107748153987357,0.009397399634826763,9.483366876918057e-09
2200,0.5105615328546844,0.009355653397221279,9.492054692062036e-09
2300,0.5110313858649733,0.009307881081769364,9.436186821574656e-09
2400,0.512784663532847,0.009334374546948509,9.381103418347906e-09
2500,0.5118895321207942,0.009242757845388225,9.51239197298294e-09
2600,0.5124736816747095,0.00922752897322916,9.38560081811649e-09
2700,0.5139234872181891,0.009249469601864695,9.416039657473863e-09
2800,0.5143816724694353,0.009213660794451692,9.533456244774348e-09
2900,0.5151851190982798,0.00913546730450538,9.262935518856385e-09
3000,0.5155190858754448,0.009116394340508831,9.299792550859578e-09
3100,0.5154593326913379,0.009126342151741478,9.23902897093581e-09
3200,0.5160574166131701,0.009118641328468454,9.212788714727711e-09
3300,0.5164192894643721,0.009049033338148505,9.426759005854305e-09
3400,0.5172333980057431,0.009042225058410649,9.205052005212239e-09
3500,0.5176711164503891,0.008972822463142474,9.265912406610116e-09
3600,0.5180119525977029,0.008940382579679993,9.233062006764202e-09
3700,0.5195879744446288,0.008939366866671345,9.277072908042686e-09
3800,0.5200591208516987,0.008938590490363593,9.146899075117621e-09
3900,0.5204480387237169,0.008876338455191205,9.21427588101838e-09
4000,0.5203561277231145,0.00888470434785067,9.170216545516275e-09
4100,0.5210164040020501,0.008877368346161587,9.044503126455578e-09
4200,0.5212274213834331,0.008844743176090726,9.282279549606853e-09
4300,0.5224542695048969,0.008766972384385435,9.21108551360644e-09
4400,0.5231726400269499,0.008753031681878696,9.15882343743153e-09
4500,0.5232804153251821,0.008723256211397506,9.22711731582553e-09
4600,0.5232986801162518,0.00875265682308864,9.024196500723995e-09
4700,0.5245407888154056,0.008703264056734678,9.089914673919902e-09
4800,0.524167874009244,0.008638231769643583,9.011458705640744e-09
4900,0.524697334228159,0.008668836348567029,8.990500169168908e-09
5000,0.5258913390596363,0.008645888412716856,9.06370213758111e-09
