miliseconds,n,c,a,m
0,0.0006559809380200861,0.00024671199923388773,-6.926168270646456e-06,0.0005186573499009272
100,0.00013228928959528095,-7.110818791162467e-05,-3.9047598651811426e-05,-0.0010029615152892049
200,0.00033940749717121144,0.00039095050812646174,-5.8047061705075086e-05,-0.0009017976031095097
300,0.00033050282563221726,0.0005326281958733815,-9.713162315879421e-05,0.0010618251365620947
400,-0.0010853942303676303,0.0014005952108215249,0.00010230598894562587,0.0010866632622650667
500,0.0001431002043933355,0.0014328534626569084,-9.948010956764642e-05,0.0011577074035993536
600,0.0016152965685633518,0.0033112997428105615,3.53713488184694e-05,0.0017186290248067167
700,0.00040285876484732856,0.004641938457707409,3.720905530817748e-05,0.0005865988057397256
800,0.0021083056762632984,0.0061357527841249355,3.7564566961710105e-05,0.0014886946802149155
900,0.0013297432944338282,0.007973940283474397,-5.9896739195253656e-05,0.0009228927873624671
1000,0.0028871669049965343,0.010265887466734007,5.481104376957812e-06,0.003412458055358069
1100,0.0035476707301497763,0.013688435668338716,0.00011614130379692205,0.005199484053144059
1200,0.006529924676497659,0.01573446798576936,0.00019970779875009496,0.004912431481929628
1300,0.007464425289739584,0.018396499755268653,0.0002685842173240858,0.0076757749303587594
1400,0.008834353874984614,0.021783352502857366,0.0002855311723615146,0.010325645263980263
1500,0.012045038114206225,0.024242585756006994,0.00032818825446376347,0.01301164593682681
1600,0.013238456522756466,0.02627225385043223,0.00040147746439270107,0.014109063024921884
1700,0.017284160389146062,0.028716830765786207,0.0005220400555519864,0.016142530184740444
1800,0.01961313386743275,0.031000951262910203,0.0006066048304680385,0.020991281521143212
1900,0.02169398917103679,0.03166981870530978,0.0006746292703708357,0.02237971386793593
2000,0.024586546042211933,0.03308955700034315,0.0009658669266044567,0.025965824810394465
2100,0.028533076874869397,0.03360116225952887,0.0009961588371008403,0.02807122430647668
2200,0.03201079491617224,0.033770543782692224,0.0013322983073074434,0.03348922150761587
2300,0.03376242506001675,0.03405341078190908,0.0015470930864071386,0.037045786466346486
2400,0.037435125330926314,0.03231428574684187,0.0015949526141877987,0.04035071969133261
2500,0.03990926243042015,0.031902301342936194,0.0017783035558054706,0.04221302163889147
2600,0.042985561989030495,0.030481228593259413,0.0019885932148387534,0.04499105296116483
2700,0.046144186598904256,0.02805667233152278,0.002239558553969657,0.04714288544301263
2800,0.047218836719933946,0.026472374169174532,0.0025288527161910893,0.05127859563123531
2900,0.04876432585731281,0.024041848223228385,0.0028015047020054033,0.054294111353233476
3000,0.05156469239946417,0.022653638610977408,0.003032365271471787,0.05655235866147817
3100,0.05299073574997565,0.020303703531339555,0.003255354376037717,0.05941855768655891
3200,0.054832241089209886,0.018923683390847372,0.0034214429260120602,0.06030673665768638
3300,0.054797041502191335,0.01687526472036601,0.003614860197969763,0.06135141371265607
3400,0.057260371644910886,0.015390608398363592,0.0037509440016685095,0.06210865756458961
3500,0.058790202098164435,0.013730968966131537,0.003946348800327839,0.06500174759799582
3600,0.057849880724359114,0.012359517977120546,0.004035297763376735,0.06543561896071093
3700,0.0601968965854229,0.011468863850420152,0.0041991648208752315,0.06738678483836547
3800,0.05891210960113308,0.01110721759420441,0.004537738118720636,0.06806459553081337
3900,0.05925355901268705,0.010219857621717466,0.004637697837398792,0.06850901716972259
4000,0.05943238980696508,0.009008288756978268,0.004680224113333109,0.06990879715147652
4100,0.06117758413498462,0.00812897860094471,0.004938352071191227,0.07124726123829479
4200,0.061495142674680744,0.008090774633671464,0.005011988148488808,0.07111485580283879
4300,0.06035666419677473,0.007199769162967909,0.0050626609958825146,0.07352951271311049
4400,0.06030800126266712,0.00725652131752038,0.005141356880045482,0.0717888265295949
4500,0.060431010449721365,0.006658886859274245,0.0051738059107710585,0.07265336182326085
4600,0.060129406280566094,0.006253449783077931,0.005450994834773333,0.07276556560502098
4700,0.06103156059630786,0.006153053348384349,0.005479555048427716,0.07608675370782408
4800,0.06140074888669927,0.005831942996257553,0.005555467939542378,0.07453330618247239
4900,0.06112198257701284,0.0050247051175850545,0.00557001018594597,0.07616155787862611
5000,0.061687151660163066,0.005059043450959197,0.005507810104207983,0.076336616908467
