milliseconds,C,B,T
0,1.1422958464965656,208.00408054170876,10.0
100,1.1439611993901475,208.05708912495672,10.0
200,1.1413904944656226,208.06122808474302,10.0
300,1.1363701677128748,208.15676624772033,10.0
400,1.136288631609889,208.20396373141602,10.0
500,1.132148485899312,208.2131149432041,10.0
600,1.13364217844584,208.24913885839743,10.0
700,1.1286239487183365,208.3131307035721,10.0
800,1.1276902801772533,208.3389438001261,10.0
900,1.1274579730996188,208.31917734214807,10.0
1000,1.125484574284255,208.34973281473395,10.0
1100,1.1250418226722152,208.39837560191387,10.0
1200,1.1210152167749479,208.48064638318618,10.0
1300,1.1207674849790945,208.47531328441943,10.0
1400,1.1192842665628462,208.50180859637646,10.0
1500,1.1172414773279487,208.52077123756888,10.0
1600,1.1154572376877967,208.53822028927289,10.0
1700,1.115087528954837,208.5979524454905,10.0
1800,1.1105317262600447,208.59840901324395,10.0
1900,1.110082041917005,208.6373501752755,10.0
2000,1.1099562716533782,208.68751704112876,10.0
2100,1.1100004849793332,208.71181360738308,10.0
2200,1.1070915183550505,208.70390786477532,10.0
2300,1.106012585646048,208.77913886146325,10.0
2400,1.1035940748924182,208.81615296000388,10.0
2500,1.1026604373663238,208.83634777141282,10.0
2600,1.1025256240452073,208.82573963524067,10.0
2700,1.1015494693405683,208.84855658509346,10.0
2800,1.1006221049150418,208.8919945630179,10.0
2900,1.0957167196032054,208.86826515125267,10.0
3000,1.0979694172683696,208.9436017691459,10.0
3100,1.094620688563176,208.96033609832185,10.0
3200,1.0940468922785782,208.96952118319143,10.0
3300,1.0929927575385274,208.95368854050074,10.0
3400,1.0932102429332435,208.98889437076033,10.0
3500,1.0925775212965043,209.0307081497234,10.0
3600,1.0894556421983446,208.99753867477676,10.0
3700,1.088676715150378,209.056507605311,10.0
3800,1.0861751296199642,209.08109642095786,10.0
3900,1.0851796273738437,209.07372725699403,10.0
4000,1.0870379360681617,209.1197802488982,10.0
4100,1.0837957671859753,209.0834602979689,10.0
4200,1.084395802954947,209.12457006565754,10.0
4300,1.0844481598594726,209.1128772905063,10.0
4400,1.0833154365992221,209.14441573010708,10.0
4500,1.0796992366057485,209.19401194507,10.0
4600,1.0809545098786937,209.21016099026642,10.0
4700,1.0801307559019457,209.23567284239664,10.0
4800,1.078101871745644,209.24339336157524,10.0
4900,1.077892427357018,209.19282134590702,10.0
5000,1.0752259876592893,209.22246624113185,10.0
