milliseconds,C,B,T
0,1.145990945446926,207.9789094310212,10.0
100,1.1411811010846231,208.0670312948985,10.0
200,1.141496863239973,208.12594205896718,10.0
300,1.136042710219288,208.1597360599125,10.0
400,1.1352554973330333,208.14921940372648,10.0
500,1.133024635204972,208.2082293011265,10.0
600,1.132998888153139,208.270514748454,10.0
700,1.1320537201019452,208.2538324678693,10.0
800,1.1296177625845347,208.2776917757189,10.0
900,1.1260530059224962,208.35979523241494,10.0
1000,1.1232842961251521,208.39523062244044,10.0
1100,1.121817360750812,208.3788416215081,10.0
1200,1.1216874094125036,208.41553822456572,10.0
1300,1.1210184912012828,208.492029838249,10.0
1400,1.1182134684757286,208.50522899459168,10.0
1500,1.1165104340612508,208.5055314160662,10.0
1600,1.1172025570168316,208.5630933633605,10.0
1700,1.1129651906962357,208.57803962166594,10.0
1800,1.1128897322990114,208.60487607188563,10.0
1900,1.1092009102361045,208.6722322770171,10.0
2000,1.1083500414664926,208.67903085888975,10.0
2100,1.108254815014874,208.6808722680273,10.0
2200,1.1062673558499798,208.76221029970864,10.0
2300,1.1051060141812874,208.7825262387585,10.0
2400,1.1047608700190572,208.772512844834,10.0
2500,1.1017502581129437,208.8201386977978,10.0
2600,1.103187492455163,208.83151198543842,10.0
2700,1.10097086748291,208.82370033442766,10.0
2800,1.1001277149521027,208.90514513657686,10.0
2900,1.0994358691656545,208.92200467437797,10.0
3000,1.0954360198721171,208.89514424271582,10.0
3100,1.0970928125790316,208.91823990104768,10.0
3200,1.0931550896743902,208.92318501728698,10.0
3300,1.094006608913642,208.98398928751203,10.0
3400,1.0923835324340727,208.96633369575397,10.0
3500,1.0907609505313924,209.04156508179827,10.0
3600,1.0888921785069698,209.04891254429543,10.0
3700,1.0878950733504793,209.0675014685923,10.0
3800,1.087890985283767,209.06851009099853,10.0
3900,1.0878866377685656,209.1150106887424,10.0
4000,1.0852334422170051,209.0852685649138,10.0
4100,1.0862249909255939,209.09229455912262,10.0
4200,1.0848041855273913,209.1349339588294,10.0
4300,1.0825671866182551,209.11837631898166,10.0
4400,1.0805556647600496,209.1903511420434,10.0
4500,1.082747176493481,209.17014076033942,10.0
4600,1.080515371134955,209.20774052574401,10.0
4700,1.078836197450301,209.21442367557503,10.0
4800,1.0779693968249564,209.24664395447857,10.0
4900,1.076634266474062,209.2204239364591,10.0
5000,1.0783841464988262,209.26513695725143,10.0
