milliseconds,PC3,XIAP,C9,PC9,C3,C9P,XIAP_C3,XIAP_C9,XIAP_C9_C3,XIAP_p2frag,XIAP_p2frag_C3,BIR12,BIR12_C3,BIR3R,BIR3R_C9,BIR3R_p2frag,XIAP_2SMAC,BIR12_SMAC,BIR3R_SMAC,SMAC,APAF1,XIAP_p2frag_2SMAC,Substrate,ClvgPrds,SMAC_mito,CytC_mit,CytC_cell
0,0.11998414989880114,0.06361493843275283,4.053326116041557e-06,0.030013206290572837,4.0711606805792e-06,2.7475288234391883e-06,3.461220284549495e-05,-8.413475371949298e-05,-2.0782087385583333e-05,1.670405801977756e-07,2.1194203182076115e-07,9.907731750162886e-06,9.263300657144557e-07,-7.183860430049772e-06,4.1454427114027165e-06,2.2098708468923218e-08,0.0004093505763565215,-1.7592443208356058e-08,-2.8300094198563246e-08,-0.00047597439662708593,3.3713389223902612,-3.542332340956889e-09,0.999760982658725,0.0001548039253009763,0.1265484803203922,9.84156904111369,-0.16763871064253436
100,0.11983452541201313,0.06300568276670558,0.0005785185017273113,0.028612545425709214,2.5340847331415903e-05,-2.4767833606054676e-06,-5.8955273718244875e-05,2.989566256800724e-05,-4.4729374937292474e-05,-2.8115613615974504e-07,1.1770822348982831e-07,-1.3464592915521666e-05,9.10889231822327e-07,3.9701330810560214e-06,-2.9927023609554475e-07,-5.345521980091703e-09,2.310437470919173e-05,7.009989231124148e-09,-3.137751362394024e-08,0.0013242082332075103,3.370518424416407,2.078291179838969e-09,0.9999057883902394,-0.00018162030024960086,0.12518828087855266,9.41419855108171,0.5179765239213666
200,0.11993127640832682,0.060824792897819085,0.0007619429138864802,0.028629178175615902,3.6739214431350756e-05,2.125819134865561e-06,-2.5353280047942545e-05,0.0009572230584097759,-1.7960569512249735e-06,1.9592767769008005e-06,-1.2344640257764585e-07,-4.2495758396311557e-08,9.217012491576646e-07,8.318497343823494e-06,2.794976941140073e-06,1.224471602127337e-08,0.00011153714120910754,7.446595214841563e-08,-1.0760999523119552e-08,0.0025917401694051418,3.3709186245750544,3.7172722196112684e-09,0.9997786610535523,9.183136619850298e-05,0.12326898011177125,9.355594690834048,0.8584887315472067
300,0.11990632043006577,0.061541939107074894,0.0008299338400471107,0.027946561569030526,5.355516276838961e-05,-9.408051105745152e-07,9.883871269973291e-05,0.002042607016523665,4.670790592528809e-05,-1.3968380414015963e-06,1.1450688727490876e-07,1.3022600854592553e-05,8.648024123411711e-07,4.121486446484749e-06,-1.431337123926455e-06,2.632689336583318e-08,-0.00014097424057557724,-6.635056721171495e-08,1.6531438806161455e-08,0.003733630645402761,3.369734514803027,-2.7411642214798165e-09,1.0001535882697945,9.676895224021725e-05,0.12340811462612494,8.622015296210167,1.255224449402917
400,0.1197370853939909,0.06010212162474291,0.0008622298077630306,0.02718366309739649,6.79873740034517e-05,3.0141901256290646e-06,0.0001293992199908618,0.0024254403950150502,3.5613498143299985e-05,-2.841668613646284e-06,-1.5313018267324386e-09,1.6907822271411418e-05,-1.1069060101286543e-06,1.64130238604353e-05,-2.870504070435556e-06,-7.234164483001666e-09,-0.00017987608029641604,2.387368348227767e-08,6.089717772165448e-09,0.004364841116149754,3.368441607170735,2.225839084395264e-09,0.9998163783851374,0.00033161551249977065,0.12135359341107942,8.251771953148532,1.6860019340653207
500,0.11974342568750998,0.0582966313088284,0.0008989451098615099,0.025762042295470033,5.884560929006087e-05,2.4279362775443596e-06,0.00014406458128986656,0.003788526077180058,-3.119832295823952e-05,2.698505278485815e-06,7.133275603631639e-08,2.2492765197384142e-05,-8.672546105132599e-07,1.7587130157228453e-05,2.9524014056098923e-06,-3.0823364501977904e-08,-0.00026673951092111726,4.144435608361383e-08,-6.51818228076789e-08,0.005470136008897565,3.3677586855829857,2.4358878750381555e-09,0.9996953567095047,0.00037376688578008235,0.11922287669079791,7.949862503867456,2.2505601096161207
600,0.11968554174625232,0.058012785993769085,0.0008774442596404884,0.025165279490097513,7.249946088763859e-05,-6.440781062672974e-07,0.00026023284472307073,0.004099741836314444,-2.786784100245312e-05,1.5203572147535035e-06,-2.590139860889203e-07,1.8644577060073818e-05,4.085474322458575e-08,1.0152889201112605e-05,-1.466902408353708e-06,7.0045617997119706e-09,2.7140280682451823e-05,8.799719857272117e-09,1.0681616050518789e-07,0.00669998292880393,3.3664408392169642,2.5486710971111693e-09,0.9998166331687771,0.00048182000344422233,0.11940429349504661,7.7663275096544355,2.658134518322176
700,0.11969140558934765,0.05869586783757569,0.0008868613137869354,0.023665885964717016,7.371118444497181e-05,-8.850028839001984e-07,0.00032068992630863026,0.004472921802512117,-2.0462550859845116e-05,2.7140198883660255e-07,-6.273685356546552e-08,3.624693782177524e-05,3.479839920547668e-07,3.063810345575409e-05,7.884986420827161e-06,-2.84057646586193e-08,0.0005979899013267061,-2.6821662519923704e-08,-9.085701146661018e-08,0.007586320252529081,3.36592356815003,1.9900410691424646e-09,0.9994115593926636,0.0005712413932090163,0.11841499722431982,7.0915204068274225,2.969449671736507
800,0.11952801439041699,0.056496730024726924,0.0008928423062751518,0.023771456873822556,6.919169765235502e-05,-1.0580585571268178e-06,0.0003627219677317092,0.005145183981245273,-7.766516258433091e-06,3.913261926677504e-06,1.8148890053835993e-07,3.7248680580075355e-05,1.8267652185147648e-07,3.386053578981243e-05,1.3663784077556841e-06,1.897358796242876e-08,0.0003668221340029636,7.181658815966533e-08,7.844642824130922e-08,0.008893943597642442,3.3652279824770264,1.8049399529919056e-09,0.9994892140936322,0.00037957457580330503,0.11682637284826157,6.836467656561073,3.13329637946087
900,0.11941047047380046,0.055025547882020326,0.0009121040332567075,0.023202940615110745,7.780308601218322e-05,-1.0517478985492703e-06,0.00043803071664920206,0.00631615577333168,7.29387203645378e-05,1.3797739776882037e-06,1.8001085100368817e-07,2.4649782622556477e-05,-7.551637049177615e-07,2.9929837325573736e-05,2.6555028912385688e-06,-1.8142015412348284e-08,0.0010946067016697515,-2.1521198282095457e-08,3.8221393590081345e-08,0.009532698810488424,3.36484559952678,6.529387348221519e-10,0.9991487304808552,0.0003637051140156907,0.11622083789484282,6.353721168638093,3.372149546803293
