miliseconds,ATP,ADP,AMP,GLC,F6P,FBP,GAP,NAD,NADH,DPG,PEP,PYR,ACA,EtOH,P
0,4.5005830389413335,0.10184021967753694,0.004891505852163032,0.016995537919521877,0.6595514757812719,0.00995552931419669,0.0003923863092993307,3.624157853685686,0.6012587699963342,0.31033586513840733,0.0021050670183566157,0.005074088819626693,0.0715964166512875,0.3163823436147798,-0.00041946745376858323
100,4.479445790586445,0.12786822330676711,0.0012817667044598842,0.04521806911027284,0.6683740617169681,0.009219916675032493,0.0029641539902212147,3.6062728225989766,0.5938211906074612,0.30922888349424266,0.001961536669637576,0.004027739575109439,0.07488373873071603,0.3267527951389464,0.002584572441609901
200,4.453308072007505,0.12820905834656232,0.0029970605774147603,0.09442923264441566,0.6936227530751813,-0.0040190277620155215,0.003456796508022362,3.63078171530059,0.5982534633862051,0.2963120757878311,0.0023703726855564982,0.0038457687134396956,0.07577038790964757,0.35965190053012835,0.007379330099996354
300,4.4483570167631,0.1544098024377288,0.0015174102194477385,0.12643383035546102,0.697548450856191,-0.006486182495858753,0.002003410508370684,3.650346007315789,0.6189283919145868,0.2932943703721359,0.0021893854611014798,0.0053194242241278175,0.06811367768869467,0.3672995231748425,0.010222748725259537
400,4.436144906563425,0.1631157172943082,0.007956850675513006,0.15570108276369085,0.7296096262054026,0.017165139913115197,0.002032255361641346,3.6443792500068786,0.6035485542600857,0.27808411573591274,0.0022377217540636967,0.007130141589038248,0.06926951006758549,0.33921258247286346,0.01356801988470323
500,4.4065236732919,0.19552903098338273,0.00550234990980648,0.17108111066807088,0.7505404382347888,0.026866501749882456,0.0016243793758191297,3.634449716003595,0.5854776747875424,0.2763517607291719,0.0027325876256975093,0.004739325247370262,0.06539547172718377,0.3399116182195689,0.01770214121201487
600,4.355496018328721,0.21764351927535655,0.013803043773756058,0.1839032376631539,0.7491493094230226,0.019397404160574592,0.005463468715456915,3.6254666585126687,0.5891636397071368,0.27304761576988595,0.0028019756355141252,0.00886036502673571,0.0731486970767554,0.3791439543127317,0.021585992974571526
700,4.311337831171842,0.26977081929589247,0.01665270058533455,0.2238611175910152,0.7571415630565466,0.039254420113393224,0.008435861140122236,3.654085586801701,0.5865566261210462,0.27594097143745755,0.002747540874093756,0.010220931882217751,0.07044832988372625,0.37827888417889083,0.023991009631237313
800,4.281521600034658,0.3113934218744085,0.01909900659132393,0.24354519630380844,0.7412782262049659,0.09891308021973548,0.011157366720729932,3.654155168450598,0.5942208849835849,0.27335149435156353,0.002851249210306525,0.008712216279774651,0.07404361320586489,0.3773724137793905,0.02768690091465007
900,4.195746671959237,0.37546168570682925,0.030497435157161086,0.2587001788321054,0.7069941387177634,0.14523074862934324,0.018241518935137205,3.6232417854699848,0.6250919380231245,0.2950105201738692,0.003687354614927797,0.01269549160927973,0.07103132627197742,0.38322264617155305,0.031316411992599616
1000,4.110553444667767,0.4366460038672007,0.04302049011686199,0.26450458544677447,0.6579220458479748,0.21491310646701142,0.03101661855040995,3.5987736549827773,0.609283618775835,0.2935314209031179,0.003796948119402639,0.01292250710654803,0.08205752456094306,0.3645892620876752,0.035924500212820204
1100,3.9992624305528595,0.5165344548772425,0.06290124412339568,0.29132576240887126,0.5737677752691226,0.2895354933418917,0.04068698340840488,3.6067904471387626,0.6359493236147139,0.30793801368890267,0.004416289968502483,0.019045668238711295,0.08617139061594645,0.4046099586874388,0.03855810913271323
1200,3.924632370692084,0.6040995149017171,0.08706725980908961,0.3032415409348809,0.4970031166769896,0.3751679884836509,0.05355114552403961,3.5507104678722707,0.6676783987692317,0.32776897745550143,0.00549438270921243,0.0204175246282729,0.08550524120305958,0.40599828872796645,0.04099647309108791
1300,3.8152404203136547,0.6742407246577304,0.11000981309957271,0.3164720842714413,0.40596640607250006,0.4735468269669119,0.062333976970287405,3.5464594050953724,0.7101744345281448,0.346881319664904,0.006512473299069678,0.025497575149550006,0.0966225322079579,0.4082563799520263,0.04349041265194299
1400,3.7375847069665875,0.7445659268938996,0.13532772170697385,0.3512269214269129,0.33349209627705345,0.5939675823516242,0.07292701332969839,3.4670161976370517,0.7541575860148848,0.3778973813121675,0.0072998758907722875,0.02966768713947306,0.11076982358066709,0.4089949085302966,0.044878122491842615
1500,3.6610775826096607,0.797620159378275,0.16606579408788036,0.3530034112659198,0.2407129855890062,0.666998242414643,0.08312648856810866,3.4506240204566834,0.8107645254905175,0.3916523395856504,0.008321659717002194,0.03937814371328403,0.12022866283062238,0.422211623913989,0.04635673188515631
1600,3.5815941937430655,0.8267670765726878,0.1878903070639478,0.37335925909878465,0.1580435360948257,0.7307459574234526,0.09086674581751258,3.3960580460451406,0.847300118557062,0.4203053622999683,0.009515914062959369,0.04518876705739057,0.1279390489609307,0.4281308785581814,0.04778900181009828
1700,3.540335975743963,0.8598699748657295,0.20527489976928595,0.3896119573756475,0.10072104343559758,0.8129735026177765,0.09597700974321961,3.34808748520632,0.8812232981097143,0.4581837874981982,0.010508399088615996,0.052162362764133635,0.15029336434402055,0.41426379410779585,0.048611550261785395
