milliseconds,T,I,C
0,0.5003744105351742,0.010015622602143512,2.3881250497864763e-11
100,0.5006857020906651,0.009962985024975977,9.8990399039912e-09
200,0.5013374947448455,0.00992158424173218,9.955713724983764e-09
300,0.5013608656422145,0.009927798462124585,9.941446662295357e-09
400,0.5018735054173025,0.009882310494595004,9.864173176493607e-09
500,0.5024285883721256,0.009844453604788765,9.839645765482023e-09
600,0.5033651930815328,0.009816153908625438,9.887965675400851e-09
700,0.5034052099512306,0.009791041888864297,9.813826343529761e-09
800,0.5038562330566487,0.009744571240215499,9.773167783897738e-09
900,0.5043357564942424,0.009725076702045041,9.832182523142706e-09
1000,0.5050352441900732,0.009688635657399752,9.767699296511833e-09
1100,0.5054066614535602,0.009693717453049172,9.769967414965948e-09
1200,0.5063205610126675,0.00963916944375939,9.771243152647315e-09
1300,0.5065664541210205,0.009628839366991776,9.668380538133337e-09
1400,0.5072263912043807,0.009600637426943153,9.68174815320134e-09
1500,0.5075760723249779,0.009542070171280262,9.706090977828958e-09
1600,0.5078002078792448,0.009548412177724501,9.616406896604805e-09
1700,0.5084354493888065,0.00948398118179062,9.686342800944728e-09
1800,0.5092817079332568,0.009457774018357125,9.60214603931078e-09
1900,0.5098058781293701,0.009443558283650542,9.611291783163769e-09
2000,0.5097258856885551,0.0094173198151791,9.571593536906647e-09
2100,0.5108695754382555,0.009389678731838984,9.537804682828099e-09
2200,0.5111527713796233,0.009343075873291074,9.491043754985317e-09
2300,0.511640908063866,0.00933532590586936,9.554165326611446e-09
2400,0.5119581241991212,0.009290590377970856,9.52190005255261e-09
2500,0.5124092353468405,0.009281287920334261,9.522383394785219e-09
2600,0.5128160472321772,0.009233215857426693,9.472172622675668e-09
2700,0.5138524694142733,0.009219735718089634,9.365369250756732e-09
2800,0.5145092405652799,0.009203622631313123,9.359484466843908e-09
2900,0.5146006361211967,0.009169852580934794,9.357153476831945e-09
3000,0.5151573637844153,0.009121393779133262,9.376599863120176e-09
3100,0.5160303841789476,0.009129431927344472,9.370218973411688e-09
3200,0.516558261829505,0.009068170077242962,9.32873724395615e-09
3300,0.5165920418632799,0.009055405714424565,9.331904088786187e-09
3400,0.5172703906803178,0.009013586255005932,9.293824025002228e-09
3500,0.5177951655378165,0.009022960502168012,9.240747998917418e-09
3600,0.5180410646297205,0.008990823919637507,9.311699337521958e-09
3700,0.5186168624303875,0.008958165108400237,9.221666405353213e-09
3800,0.5192301005106312,0.008944822766530297,9.272622511520733e-09
3900,0.5196078962122065,0.008887626517112956,9.148352270372751e-09
4000,0.5200798252778183,0.008867918509857518,9.223900354093936e-09
4100,0.5205802879801598,0.008854256827249406,9.203026105079598e-09
4200,0.5216249711909565,0.00883843457145576,9.110813737840871e-09
4300,0.5216190225733675,0.008772378982661786,9.150699366182491e-09
4400,0.5222724965937723,0.008762408618318878,9.098343968859769e-09
4500,0.5227661325987363,0.008759541792441249,9.064354727715772e-09
4600,0.5233356050471041,0.008708110529086656,9.060875091642105e-09
4700,0.5239206925208074,0.008672683598404582,9.083212592621403e-09
4800,0.5245464683204107,0.008662514518431766,9.033467856001968e-09
4900,0.5251184348692963,0.008628490784005537,9.03668092267256e-09
5000,0.5255519858100934,0.008604495622887802,9.063404773589362e-09
